year,space_heating_PJ_observed,space_heating_PJ_adjusted
2000,169.6996110099462,189.5053014249662
2001,184.6446674929117,189.3892501265571
2002,171.2011953919395,189.0982767205906
2003,184.8876944909855,188.5234938839554
2004,182.0250415960342,187.9872521358666
2005,187.974422276776,187.0419148758087
2006,181.848754045688,186.2403645489648
2007,159.079682874239,185.4120149516004
2008,175.8872777156283,184.9640239245079
2009,171.8387738996351,184.1770037849174
2010,194.0370260353968,183.3263488952191
2011,149.3595522001627,182.1335917519159
2012,169.9536941446354,181.2226480850463
2013,188.1889924080043,180.404075076046
2014,140.5501021035879,179.3784776050063
2015,156.0097813701563,178.5106816802438
2016,167.0520626605059,177.758299464646
2017,161.2966756781628,177.1566465032582
2018,146.9532209186723,176.0114340991657
2019,149.823738996911,174.8590212504018
2020,140.1296575040438,174.0987781363602
2021,166.2058476181555,174.5375210709395
2022,131.8652429588218,173.917169481556
2023,136.7950838156347,170.1480659493059
2024,140.0444401069563,169.7499652416148
