energy_carrier,year,space_heating_PJ
Heizöl,2000,102.9533579074473
Erdgas,2000,28.60450612889571
Kohle,2000,0.4404240341033455
El. Widerstandsheizungen,2000,11.23737551998597
Elektrische Wärmepumpen,2000,1.459463964593085
Fernwärme,2000,4.311263089004645
Holz,2000,18.03340183767658
Umweltwärme,2000,2.619818528239477
Solar,2000,0.04
Total,2000,169.6996110099462
  darunter fest installiert,2000,168.1842708105943
  darunter mobil,2000,1.515340199351801
Heizöl,2001,110.5682308534161
Erdgas,2001,32.20995000968613
Kohle,2001,0.4766808552954359
El. Widerstandsheizungen,2001,12.18448937953625
Elektrische Wärmepumpen,2001,1.703579655631204
Fernwärme,2001,4.845335708603567
Holz,2001,19.47289885664864
Umweltwärme,2001,3.080468696112891
Solar,2001,0.1030334779814687
Total,2001,184.6446674929117
  darunter fest installiert,2001,183.0722621074916
  darunter mobil,2001,1.572405385420111
Heizöl,2002,101.3464196204577
Erdgas,2002,30.84793745440155
Kohle,2002,0.4185320570885167
El. Widerstandsheizungen,2002,11.30668125061168
Elektrische Wärmepumpen,2002,1.681380296198111
Fernwärme,2002,4.608387707882706
Holz,2002,17.81682797899393
Umweltwärme,2002,3.065599438404251
Solar,2002,0.1094295879009798
Total,2002,171.2011953919395
  darunter fest installiert,2002,169.7196283161639
  darunter mobil,2002,1.481567075775601
Heizöl,2003,108.067442683886
Erdgas,2003,34.36173786016803
Kohle,2003,0.4514955184017792
El. Widerstandsheizungen,2003,12.15057081655761
Elektrische Wärmepumpen,2003,1.931066586662908
Fernwärme,2003,5.128138330880175
Holz,2003,19.06953961960355
Umweltwärme,2003,3.554139037700114
Solar,2003,0.1735640371253644
Total,2003,184.8876944909855
  darunter fest installiert,2003,183.4021481823687
  darunter mobil,2003,1.485546308616796
Heizöl,2004,104.744147073765
Erdgas,2004,34.91777120714859
Kohle,2004,0.4438689701959893
El. Widerstandsheizungen,2004,11.99436001103943
Elektrische Wärmepumpen,2004,2.048740749639088
Fernwärme,2004,5.190280738813264
Holz,2004,18.70143269777173
Umweltwärme,2004,3.807141254612997
Solar,2004,0.1772988930481254
Total,2004,182.0250415960342
  darunter fest installiert,2004,180.5104706360919
  darunter mobil,2004,1.514570959942226
Heizöl,2005,106.2511819566517
Erdgas,2005,37.14183266314081
Kohle,2005,0.4582225677236274
El. Widerstandsheizungen,2005,12.41063894628144
Elektrische Wärmepumpen,2005,2.278204861953803
Fernwärme,2005,5.553075590504886
Holz,2005,19.32376904912581
Umweltwärme,2005,4.282291451609684
Solar,2005,0.2752051897842154
Total,2005,187.974422276776
  darunter fest installiert,2005,186.4488001675239
  darunter mobil,2005,1.525622109252093
Heizöl,2006,100.8446218761932
Erdgas,2006,36.91387573058401
Kohle,2006,0.4424563325234281
El. Widerstandsheizungen,2006,12.03841753029257
Elektrische Wärmepumpen,2006,2.41288704437448
Fernwärme,2006,5.550114346808669
Holz,2006,18.77534337363492
Umweltwärme,2006,4.587774860692802
Solar,2006,0.2832629505839939
Total,2006,181.848754045688
  darunter fest installiert,2006,180.4203476263495
  darunter mobil,2006,1.428406419338514
Heizöl,2007,86.71532087714081
Erdgas,2007,33.1524862054802
Kohle,2007,0.3466187767511397
El. Widerstandsheizungen,2007,10.60292095587743
Elektrische Wärmepumpen,2007,2.296113203145732
Fernwärme,2007,5.050103122741533
Holz,2007,16.16802175820103
Umweltwärme,2007,4.427744468072587
Solar,2007,0.3203535068285612
Total,2007,159.079682874239
  darunter fest installiert,2007,157.7410545473719
  darunter mobil,2007,1.338628326867102
Heizöl,2008,94.12038591970038
Erdgas,2008,37.47913735100874
Kohle,2008,0.364766752380749
El. Widerstandsheizungen,2008,11.64927445607467
Elektrische Wärmepumpen,2008,2.772559147656243
Fernwärme,2008,5.751827674879
Holz,2008,17.96492196607766
Umweltwärme,2008,5.412798961087015
Solar,2008,0.3716054867638552
Total,2008,175.8872777156283
  darunter fest installiert,2008,174.5050354191871
  darunter mobil,2008,1.382242296441243
Heizöl,2009,90.1362601888844
Erdgas,2009,37.45282786066706
Kohle,2009,0.293743028592491
El. Widerstandsheizungen,2009,11.35996545045024
Elektrische Wärmepumpen,2009,2.947544722238936
Fernwärme,2009,5.773099235287408
Holz,2009,17.65939214353772
Umweltwärme,2009,5.818899898937993
Solar,2009,0.397041371038842
Total,2009,171.8387738996351
  darunter fest installiert,2009,170.5206203856272
  darunter mobil,2009,1.318153514007899
Heizöl,2010,99.65111772755773
Erdgas,2010,43.31276362041304
Kohle,2010,0.323483354496536
El. Widerstandsheizungen,2010,12.66233579025652
Elektrische Wärmepumpen,2010,3.610793547120827
Fernwärme,2010,6.740597469967891
Holz,2010,19.99448156575459
Umweltwärme,2010,7.210924464437224
Solar,2010,0.5305284953923537
Total,2010,194.0370260353968
  darunter fest installiert,2010,192.6171489964523
  darunter mobil,2010,1.41987703894443
Heizöl,2011,74.8201221050973
Erdgas,2011,34.032390976298
Kohle,2011,0.2470168844433457
El. Widerstandsheizungen,2011,9.85242779918952
Elektrische Wärmepumpen,2011,3.039342433177113
Fernwärme,2011,5.343877076185093
Holz,2011,15.45825052291202
Umweltwärme,2011,6.134701593216628
Solar,2011,0.4314228096436811
Total,2011,149.3595522001627
  darunter fest installiert,2011,148.1510592168538
  darunter mobil,2011,1.208492983308851
Heizöl,2012,83.23146369889686
Erdgas,2012,39.54290856226727
Kohle,2012,0.260832834982403
El. Widerstandsheizungen,2012,11.11679844490397
Elektrische Wärmepumpen,2012,3.742240664388702
Fernwärme,2012,6.259263641982269
Holz,2012,17.62469666798392
Umweltwärme,2012,7.644992647242648
Solar,2012,0.5304969819873706
Total,2012,169.9536941446354
  darunter fest installiert,2012,168.6686281988051
  darunter mobil,2012,1.285065945830292
Heizöl,2013,89.59774164551366
Erdgas,2013,44.69105315119377
Kohle,2013,0.1610846342834092
El. Widerstandsheizungen,2013,12.19877770032613
Elektrische Wärmepumpen,2013,4.589739587413809
Fernwärme,2013,7.137454208360437
Holz,2013,19.67860148336749
Umweltwärme,2013,9.48118011474646
Solar,2013,0.6533598827990966
Total,2013,188.1889924080043
  darunter fest installiert,2013,186.8472227966467
  darunter mobil,2013,1.341769611357539
