end_use,year,consumption_PJ,end_use_es
Raumwärme,2000,169.6996110099462,Calefacción de espacios
  Raumwärme fest installiert,2000,168.1842708105943,Calefacción fija (instalación permanente)
  Heizen mobil,2000,1.515340199351801,Calefacción móvil
Warmwasser,2000,31.56485689991953,Agua caliente sanitaria
"Klima, Lüftung, HT",2000,3.508978740840166,"Climatización, ventilación y técnica del hogar"
  Heizen Hilfsenergie,2000,2.259114449695579,Energía auxiliar de calefacción
"  Lüftung, Luftbefeuchtung",2000,0.7426292751705281,Ventilación y humidificación
  Klimatisierung,2000,0.0504605707421223,Aire acondicionado
"  Antennenverstärker, u.a.",2000,0.4567744452319366,"Equipos auxiliares (antenas, etc.)"
"I&K, Unterhaltung",2000,5.666799819242855,"Información, comunicación y entretenimiento"
Kochen,2000,7.35501583993849,Cocina
Beleuchtung,2000,6.459402901072391,Iluminación
Waschen & Trocknen,2000,2.60775092356741,Lavado y secado
Kühlen & Gefrieren,2000,6.862027543524063,Refrigeración y congelación
Geschirrspüler,2000,1.81471324437543,Lavavajillas
sonstige Elektrogeräte,2000,4.62213046404,Otros aparatos eléctricos
Total,2000,240.1612873864665,Total
Raumwärme,2001,184.6446674929117,Calefacción de espacios
  Raumwärme fest installiert,2001,183.0722621074916,Calefacción fija (instalación permanente)
  Heizen mobil,2001,1.572405385420111,Calefacción móvil
Warmwasser,2001,31.43350758973932,Agua caliente sanitaria
"Klima, Lüftung, HT",2001,3.738611611633571,"Climatización, ventilación y técnica del hogar"
  Heizen Hilfsenergie,2001,2.481440969589562,Energía auxiliar de calefacción
"  Lüftung, Luftbefeuchtung",2001,0.7476688083523161,Ventilación y humidificación
  Klimatisierung,2001,0.0531163902548656,Aire acondicionado
"  Antennenverstärker, u.a.",2001,0.4563854434368269,"Equipos auxiliares (antenas, etc.)"
"I&K, Unterhaltung",2001,5.808639198923534,"Información, comunicación y entretenimiento"
Kochen,2001,7.355708389416598,Cocina
Beleuchtung,2001,6.741539094365634,Iluminación
Waschen & Trocknen,2001,2.889843653648749,Lavado y secado
Kühlen & Gefrieren,2001,6.887819895838103,Refrigeración y congelación
Geschirrspüler,2001,1.816637863548117,Lavavajillas
sonstige Elektrogeräte,2001,4.879871799648686,Otros aparatos eléctricos
Total,2001,256.196846589674,Total
Raumwärme,2002,171.2011953919395,Calefacción de espacios
  Raumwärme fest installiert,2002,169.7196283161639,Calefacción fija (instalación permanente)
  Heizen mobil,2002,1.481567075775601,Calefacción móvil
Warmwasser,2002,31.40759521136095,Agua caliente sanitaria
"Klima, Lüftung, HT",2002,3.588656351265858,"Climatización, ventilación y técnica del hogar"
  Heizen Hilfsenergie,2002,2.321808390224366,Energía auxiliar de calefacción
"  Lüftung, Luftbefeuchtung",2002,0.7543252348281566,Ventilación y humidificación
  Klimatisierung,2002,0.0559119897419638,Aire acondicionado
