año,consumo_calefaccion_PJ,HDD_media
2000,169.6996110099462,3638.0928452214453
2001,184.6446674929117,3844.1393985569985
2002,171.2011953919395,3660.283348051948
2003,184.8876944909855,3800.379292063492
2004,182.0250415960341,3939.4246559884564
2005,187.974422276776,4044.997796825397
2006,181.848754045688,3774.211257142857
2007,159.079682874239,3671.72121010101
2008,175.8872777156283,3846.9840593149543
2009,171.8387738996351,3778.03706388699
2010,194.0370260353968,4015.673644976077
2011,149.3595522001627,3530.0021031746032
2012,169.9536941446354,3712.3256623931625
2013,188.1889924080043,3900.1169904401154
2014,140.550102103588,3406.347876855934
2015,156.0097813701563,3479.579748931624
2016,167.0520626605059,3688.25005487568
2017,161.2966756781629,3684.5582104700857
2018,146.9532209186723,3364.7306303418804
2019,149.823738996911,3538.855876068376
2020,140.1296575040439,3420.447045940171
2021,166.2058476181555,3806.722067307692
2022,131.8652429588218,3254.274877899878
2023,136.7950838156347,3301.987171855922
2024,140.0444401069563,3347.653076159951
