canton,year,heating_code,n_buildings,heating_system,n_buildings_total,share
ZG,2021,5,1,Heat pump,32842,3.044881554107545e-05
ZG,2022,5,2,Heat pump,32650,6.125574272588055e-05
ZG,2023,5,1,Heat pump,32376,3.0887076847047197e-05
ZG,2024,5,1,Heat pump,32446,3.082044011588486e-05
OW,2021,8,1,Other,18956,5.275374551593163e-05
OW,2022,8,0,Other,18994,0.0
OW,2023,8,1,Other,19136,5.225752508361204e-05
OW,2024,8,1,Other,19096,5.236698785085882e-05
VS,2021,2,6,Gas,233778,2.566537484279958e-05
VS,2022,2,7,Gas,237462,2.947840075464706e-05
VS,2023,2,9,Gas,239268,3.761472491097848e-05
VS,2024,2,10,Gas,241170,4.146452709706846e-05
GR,2021,2,15,Gas,142680,0.00010513036164844407
GR,2022,2,16,Gas,146316,0.0001093523606440854
GR,2023,2,13,Gas,148394,8.760462013288947e-05
GR,2024,2,13,Gas,150048,8.663894220516101e-05
GE,2021,9,0,No heating system,89864,0.0
GE,2022,9,0,No heating system,90488,0.0
GE,2023,9,0,No heating system,90034,0.0
GE,2024,9,0,No heating system,90270,0.0
AG,2021,1,116,Heating oil,307788,0.00037688278945248026
AG,2022,1,124,Heating oil,309568,0.00040055819722968785
AG,2023,1,142,Heating oil,311260,0.0004562102422412131
AG,2024,1,154,Heating oil,312492,0.0004928126160029697
SO,2021,6,55,Biomass,140352,0.0003918718650250798
SO,2022,6,55,Biomass,140962,0.0003901760758218527
SO,2023,6,58,Biomass,141610,0.0004095755949438599
SO,2024,6,57,Biomass,142080,0.00040118243243243245
AI,2021,5,0,Heat pump,10598,0.0
AI,2022,5,0,Heat pump,10638,0.0
AI,2023,5,0,Heat pump,10660,0.0
AI,2024,5,0,Heat pump,10724,0.0
SZ,2021,1,554,Heating oil,64304,0.008615327195819856
SZ,2022,1,547,Heating oil,64612,0.008465919643409894
SZ,2023,1,550,Heating oil,64862,0.008479541179735438
SZ,2024,1,557,Heating oil,64996,0.008569758138962397
TI,2021,1,64,Heating oil,226736,0.0002822666008044598
TI,2022,1,65,Heating oil,228078,0.00028499022264313087
TI,2023,1,65,Heating oil,228950,0.0002839047827036471
TI,2024,1,54,Heating oil,229508,0.00023528591595935655
TI,2021,2,9,Gas,226736,3.969374073812716e-05
TI,2022,2,9,Gas,228078,3.946018467366427e-05
TI,2023,2,11,Gas,228950,4.804542476523258e-05
TI,2024,2,22,Gas,229508,9.585722502047858e-05
