Año,Territorio,Bombas de calor (%)
2021,Switzerland,8.04910039167809
2022,Switzerland,7.93325121924852
2023,Switzerland,7.55486944159854
2024,Switzerland,7.07675488422244
2021,GR,13.10625175217269
2022,GR,12.78875857732578
2023,GR,12.25925576505788
2024,GR,12.045478780123691
2021,ZH,3.65662155088611
2022,ZH,3.5832949283472604
2023,ZH,3.3201944553935
2024,ZH,3.1864812766906003
2021,BL,3.2141267250333803
2022,BL,3.19663045887829
2023,BL,3.17997293640054
2024,BL,2.83253756700547
2021,GE,4.6648268494614005
2022,GE,4.55972062593935
2023,GE,4.38945287335895
2024,GE,4.561869945718399
2021,TI,20.87890762825488
2022,TI,20.84286954462947
2023,TI,20.310984931207678
2024,TI,16.02297087683218
