canton,year,heating_system,n_buildings,total_buildings,share
AG,2021,Biomass,13560,307788,0.044056298491169245
AG,2021,District heating,22812,307788,0.0741159499395688
AG,2021,Electricity,140036,307788,0.4549755026186856
AG,2021,Gas,39126,307788,0.1271199656906702
AG,2021,Heat pump,18230,307788,0.059229079756195825
AG,2021,Heating oil,72064,307788,0.23413518395778912
AG,2021,No heating system,48,307788,0.00015595149908378494
AG,2021,Other,1390,307788,0.004516095494301272
AG,2021,Solar thermal,522,307788,0.0016959725525361612
AG,2022,Biomass,13628,309568,0.044022637998759565
AG,2022,District heating,22684,309568,0.07327630762869547
AG,2022,Electricity,137524,309568,0.4442448831920612
AG,2022,Gas,39080,309568,0.12624043828819517
AG,2022,Heat pump,17860,309568,0.057693301633243745
AG,2022,Heating oil,77140,309568,0.24918596237337193
AG,2022,No heating system,68,309568,0.00021966094686789333
AG,2022,Other,1058,309568,0.0034176659086210463
AG,2022,Solar thermal,526,309568,0.0016991420301839984
AG,2023,Biomass,14162,311260,0.04549893979309902
AG,2023,District heating,22594,311260,0.07258883248730964
AG,2023,Electricity,133360,311260,0.4284520979245647
AG,2023,Gas,38220,311260,0.12279123562295187
AG,2023,Heat pump,17242,311260,0.05539420420227462
AG,2023,Heating oil,84226,311260,0.2705969286127353
AG,2023,No heating system,74,311260,0.0002377433656749984
AG,2023,Other,844,311260,0.0027115594679689007
AG,2023,Solar thermal,538,311260,0.0017284585234209342
AG,2024,Biomass,14692,312492,0.047015603599452144
AG,2024,District heating,22558,312492,0.07218744799866876
AG,2024,Electricity,128282,312492,0.4105129091304737
AG,2024,Gas,38726,312492,0.12392637251513638
AG,2024,Heat pump,16650,312492,0.053281364002918476
AG,2024,Heating oil,90150,312492,0.2884873852770631
AG,2024,No heating system,110,312492,0.0003520090114306926
AG,2024,Other,770,312492,0.0024640630800148483
AG,2024,Solar thermal,554,312492,0.0017728453848418519
AI,2021,Biomass,116,10598,0.010945461407812794
AI,2021,District heating,3304,10598,0.31175693527080584
AI,2021,Electricity,3644,10598,0.34383846008680885
AI,2021,Gas,684,10598,0.06454047933572372
AI,2021,Heat pump,392,10598,0.036988110964332896
AI,2021,Heating oil,2402,10598,0.2266465370824684
AI,2021,No heating system,8,10598,0.0007548594074353652
AI,2021,Other,14,10598,0.001321003963011889
AI,2021,Solar thermal,34,10598,0.003208152481600302
AI,2022,Biomass,114,10638,0.01071630005640158
AI,2022,District heating,3288,10638,0.3090806542583192
AI,2022,Electricity,3540,10638,0.3327693175408911
AI,2022,Gas,668,10638,0.06279375822523031
AI,2022,Heat pump,384,10638,0.03609701071630006
AI,2022,Heating oil,2592,10638,0.2436548223350254
AI,2022,No heating system,8,10638,0.0007520210565895845
AI,2022,Other,10,10638,0.0009400263207369807
AI,2022,Solar thermal,34,10638,0.003196089490505734
AI,2023,Biomass,110,10660,0.010318949343339587
AI,2023,District heating,3282,10660,0.3078799249530957
AI,2023,Electricity,3454,10660,0.32401500938086303
AI,2023,Gas,662,10660,0.06210131332082552
AI,2023,Heat pump,372,10660,0.0348968105065666
AI,2023,Heating oil,2730,10660,0.25609756097560976
AI,2023,No heating system,8,10660,0.00075046904315197
AI,2023,Other,10,10660,0.0009380863039399625
AI,2023,Solar thermal,32,10660,0.00300187617260788
AI,2024,Biomass,106,10724,0.00988437150317046
AI,2024,District heating,3288,10724,0.3066020141738157
AI,2024,Electricity,3416,10724,0.3185378590078329
AI,2024,Gas,662,10724,0.06173069750093249
AI,2024,Heat pump,372,10724,0.034688549048862365
AI,2024,Heating oil,2834,10724,0.2642670645281611
AI,2024,No heating system,8,10724,0.0007459903021260724
AI,2024,Other,6,10724,0.0005594927265945542
AI,2024,Solar thermal,32,10724,0.0029839612085042896
AR,2021,Biomass,936,32646,0.028671200147031797
AR,2021,District heating,8100,32646,0.24811615511854437
AR,2021,Electricity,12354,32646,0.37842308399191327
AR,2021,Gas,5800,32646,0.17766341971451327
AR,2021,Heat pump,1186,32646,0.03632910616920909
AR,2021,Heating oil,4088,32646,0.12522207927464313
AR,2021,No heating system,16,32646,0.0004901059854193469
AR,2021,Other,110,32646,0.0033694786497580104
AR,2021,Solar thermal,56,32646,0.0017153709489677142
AR,2022,Biomass,980,32738,0.029934632537112836
AR,2022,District heating,8048,32738,0.24583053332518787
AR,2022,Electricity,12064,32738,0.36850143564054005
AR,2022,Gas,5768,32738,0.1761866943612927
AR,2022,Heat pump,1176,32738,0.0359215590445354
AR,2022,Heating oil,4550,32738,0.13898222249373815
AR,2022,No heating system,24,32738,0.0007330930417252122
AR,2022,Other,70,32738,0.0021381880383652026
AR,2022,Solar thermal,58,32738,0.0017716415175025963
AR,2023,Biomass,1054,32792,0.03214198585020737
AR,2023,District heating,7936,32792,0.24201024640156135
AR,2023,Electricity,11350,32792,0.34612100512320076
AR,2023,Gas,5680,32792,0.17321297877531106
AR,2023,Heat pump,1114,32792,0.0339717004147353
AR,2023,Heating oil,5526,32792,0.16851671139302268
AR,2023,No heating system,30,32792,0.0009148572822639668
AR,2023,Other,48,32792,0.001463771651622347
AR,2023,Solar thermal,54,32792,0.0016467431080751402
AR,2024,Biomass,1184,32834,0.03606018151915697
AR,2024,District heating,7880,32834,0.23999512700249742
AR,2024,Electricity,10900,32834,0.33197295486386064
AR,2024,Gas,5528,32834,0.16836206371444234
AR,2024,Heat pump,1094,32834,0.033319120423950785
AR,2024,Heating oil,6112,32834,0.1861485045988914
AR,2024,No heating system,42,32834,0.0012791618444295547
AR,2024,Other,42,32834,0.0012791618444295547
AR,2024,Solar thermal,52,32834,0.0015837241883413535
BE,2021,Biomass,12676,476222,0.026617837899131077
BE,2021,District heating,82604,476222,0.17345691715208453
BE,2021,Electricity,219146,476222,0.46017613633977433
BE,2021,Gas,61892,476222,0.12996459634372204
BE,2021,Heat pump,28246,476222,0.05931267350101423
BE,2021,Heating oil,67664,476222,0.14208499397339897
BE,2021,No heating system,862,476222,0.0018100801726925676
BE,2021,Other,2260,476222,0.004745685835597683
BE,2021,Solar thermal,872,476222,0.001831078782584593
BE,2022,Biomass,15422,477912,0.03226953916202146
BE,2022,District heating,82036,477912,0.17165503272569008
BE,2022,Electricity,214830,477912,0.4495179028775172
BE,2022,Gas,61378,477912,0.1284295016655786
BE,2022,Heat pump,27550,477912,0.05764659602604664
BE,2022,Heating oil,73582,477912,0.15396558362208942
BE,2022,No heating system,882,477912,0.0018455280470044695
BE,2022,Other,1412,477912,0.0029545188235491054
BE,2022,Solar thermal,820,477912,0.0017157970505030215
BE,2023,Biomass,14018,479182,0.02925402039308655
BE,2023,District heating,84184,479182,0.17568272597885562
BE,2023,Electricity,207200,479182,0.43240355439060735
BE,2023,Gas,57284,479182,0.1195453919387623
BE,2023,Heat pump,25994,479182,0.05424661193450505
BE,2023,Heating oil,87196,479182,0.18196843787955308
BE,2023,No heating system,934,479182,0.001949155018343761
BE,2023,Other,1250,479182,0.002608612176584262
BE,2023,Solar thermal,1122,479182,0.002341490289702034
BE,2024,Biomass,17328,480232,0.03608256009595362
BE,2024,District heating,84122,480232,0.17516950140765297
BE,2024,Electricity,203164,480232,0.4230538573023039
BE,2024,Gas,56686,480232,0.1180387812557264
BE,2024,Heat pump,25454,480232,0.05300354828499559
BE,2024,Heating oil,90182,480232,0.1877884022722351
BE,2024,No heating system,954,480232,0.001986539839077779
BE,2024,Other,1204,480232,0.002507121557913675
BE,2024,Solar thermal,1138,480232,0.0023696879841409984
BL,2021,Biomass,10478,134780,0.07774150467428402
BL,2021,District heating,6758,134780,0.0501409704703962
BL,2021,Electricity,46738,134780,0.34677251817777116
BL,2021,Gas,43616,134780,0.32360884404214274
BL,2021,Heat pump,4332,134780,0.03214126725033388
BL,2021,Heating oil,19476,134780,0.14450215165454816
BL,2021,No heating system,3022,134780,0.0224217242914379
BL,2021,Other,352,134780,0.002611663451550675
BL,2021,Solar thermal,8,134780,5.9355987535242616e-05
BL,2022,Biomass,10508,135330,0.07764723269046035
BL,2022,District heating,6770,135330,0.05002586270597798
BL,2022,Electricity,46566,135330,0.3440922190201729
BL,2022,Gas,43540,135330,0.3217320623660681
BL,2022,Heat pump,4326,135330,0.031966304588782975
BL,2022,Heating oil,19956,135330,0.14746176014187543
BL,2022,No heating system,3302,135330,0.024399615754082612
BL,2022,Other,354,135330,0.0026158279760585238
BL,2022,Solar thermal,8,135330,5.911475652109658e-05
BL,2023,Biomass,10526,135976,0.07741071953874214
BL,2023,District heating,6774,135976,0.04981761487321292
BL,2023,Electricity,46442,135976,0.34154556686474086
BL,2023,Gas,43432,135976,0.31940930752485736
BL,2023,Heat pump,4324,135976,0.031799729364005415
BL,2023,Heating oil,20396,135976,0.14999705830440666
BL,2023,No heating system,3718,135976,0.02734306054009531
BL,2023,Other,356,135976,0.002618109078072601
BL,2023,Solar thermal,8,135976,5.883391186680002e-05
BL,2024,Biomass,11826,136556,0.08660183367995547
BL,2024,District heating,7742,136556,0.056694689358212015
BL,2024,Electricity,42252,136556,0.3094115234775477
BL,2024,Gas,44102,136556,0.32295907905914056
BL,2024,Heat pump,3868,136556,0.028325375670054775
BL,2024,Heating oil,26292,136556,0.19253639532499486
BL,2024,No heating system,220,136556,0.0016110606637569935
BL,2024,Other,222,136556,0.0016257066697911479
BL,2024,Solar thermal,32,136556,0.00023433609654647177
BS,2021,Biomass,18914,47418,0.3988780631827576
BS,2021,District heating,518,47418,0.010924121641570712
BS,2021,Electricity,5272,47418,0.11118140790417141
BS,2021,Gas,21006,47418,0.4429963305074022
BS,2021,Heat pump,392,47418,0.008266902863891349
BS,2021,Heating oil,1292,47418,0.02724703699017251
BS,2021,No heating system,0,47418,0.0
BS,2021,Other,24,47418,0.0005061369100341643
BS,2021,Solar thermal,0,47418,0.0
BS,2022,Biomass,19396,47586,0.4075988736182911
BS,2022,District heating,552,47586,0.011600050435001891
BS,2022,Electricity,4870,47586,0.10234102467112176
BS,2022,Gas,20440,47586,0.42953809944101207
BS,2022,Heat pump,376,47586,0.00790148362963897
BS,2022,Heating oil,1928,47586,0.0405161181860211
BS,2022,No heating system,2,47586,4.2029168242760476e-05
BS,2022,Other,22,47586,0.0004623208506703652
BS,2022,Solar thermal,0,47586,0.0
BS,2023,Biomass,19924,47692,0.4177639855741005
BS,2023,District heating,582,47692,0.012203304537448629
BS,2023,Electricity,4572,47692,0.0958651346137717
BS,2023,Gas,19516,47692,0.40920909167155917
BS,2023,Heat pump,358,47692,0.0075065000419357545
BS,2023,Heating oil,2718,47692,0.056990690262517824
BS,2023,No heating system,2,47692,4.193575442422209e-05
BS,2023,Other,20,47692,0.00041935754424222093
BS,2023,Solar thermal,0,47692,0.0
BS,2024,Biomass,20624,47750,0.4319162303664921
