canton,year,HDD,CDD
AG,1984,1488.8,5.199999999999999
AG,1985,3590.4,5.600000000000001
AG,1986,3481.8,9.800000000000004
AG,1987,2442.7666666666664,2.699999999999998
AG,1988,2330.6666666666665,3.633333333333334
AG,1989,2464.066666666667,4.166666666666665
AG,1990,2461.5333333333333,7.866666666666668
AG,1991,2657.1666666666665,11.233333333333334
AG,1992,2586.375,21.1
AG,1993,2668.9,3.0
AG,1994,2363.075,31.6
AG,1995,2694.025,11.200000000000001
AG,1996,2955.2749999999996,2.6500000000000004
AG,1997,2287.0,1.4500000000000002
AG,1998,2684.25,18.049999999999997
AG,1999,2607.1,4.175000000000001
AG,2000,2399.425,4.375000000000002
AG,2001,2583.15,7.825000000000003
AG,2002,2426.025,14.875
AG,2003,2637.9,90.5
AG,2004,2633.15,7.5
AG,2005,2704.575,15.274999999999999
AG,2006,2641.7,34.625
AG,2007,2399.25,5.699999999999998
AG,2008,2559.8,11.424999999999997
AG,2009,2563.25,5.550000000000002
AG,2010,2363.7400000000002,14.52
AG,2011,2084.7,12.080000000000002
AG,2012,2346.58,9.860000000000001
AG,2013,2433.5,26.18
AG,2014,2007.36,8.139999999999999
AG,2015,2177.56,72.88000000000001
AG,2016,2267.92,11.580000000000002
AG,2017,2287.7599999999998,27.060000000000002
AG,2018,1983.6,47.82000000000001
AG,2019,2210.2400000000002,36.0
AG,2020,2063.68,18.58
AG,2021,2367.7400000000002,7.359999999999999
AG,2022,2001.58,42.6
AG,2023,1972.44,29.820000000000004
AG,2024,2010.52,21.240000000000002
AI,1882,929.6,0.0
AI,1883,2717.6,0.0
AI,1884,2745.6,0.0
AI,1885,2878.5,0.0
AI,1886,2854.7,0.0
AI,1887,2805.5,0.0
AI,1888,3022.8,0.0
AI,1889,2928.9,0.0
AI,1890,2985.3,0.0
AI,1891,2871.9,0.0
AI,1892,3046.3,0.0
AI,1893,2901.3,0.0
AI,1894,2923.0,0.0
AI,1895,3012.1,0.0
AI,1896,2938.5,0.0
AI,1897,2964.6,0.0
AI,1898,2811.5,0.0
AI,1899,2828.0,0.0
AI,1900,2960.2,0.0
AI,1901,2993.3,0.0
AI,1902,2889.5,0.0
AI,1903,2878.9,0.0
AI,1904,2833.5,0.0
AI,1905,2995.0,0.0
AI,1906,2940.1,0.0
AI,1907,2939.7,0.0
AI,1908,2959.6,0.0
AI,1909,3150.5,0.0
AI,1910,3080.5,0.0
AI,1911,2911.9,0.0
AI,1912,3074.2,0.0
AI,1913,2929.6,0.0
AI,1914,2822.6,0.0
AI,1915,2948.9,0.0
AI,1916,2888.9,0.0
AI,1917,3048.4,0.0
AI,1918,2871.2,0.0
AI,1919,2973.8,0.0
AI,1920,2728.2,0.0
AI,1921,2721.3,0.0
AI,1922,3076.1,0.0
AI,1923,2823.6,0.0
