station_abbr,year,HDD,CDD,canton
ABO,1959,1732.8,0.0,BE
ABO,1960,1810.3,0.0,BE
ABO,1961,1607.0,0.0,BE
ABO,1962,1789.5,0.0,BE
ABO,1963,1847.9,0.0,BE
ABO,1964,1846.6,0.0,BE
ABO,1965,1987.8,0.0,BE
ABO,1966,1622.1,0.0,BE
ABO,1967,1926.9,0.0,BE
ABO,1968,1881.5,1.8999999999999986,BE
ABO,1969,1946.2,0.0,BE
ABO,1970,1844.4,0.0,BE
ABO,1971,1852.7,0.0,BE
ABO,1972,1754.9,0.0,BE
ABO,1973,1829.8,0.0,BE
ABO,1974,1928.2,0.0,BE
ABO,1975,1872.6,0.0,BE
ABO,1976,1754.0,0.0,BE
ABO,1977,1717.2,0.0,BE
ABO,1978,1900.8,0.0,BE
ABO,1979,1753.8,0.0,BE
ABO,1980,2071.6,0.0,BE
ABO,1981,1689.0,0.0,BE
ABO,1982,1603.1,0.0,BE
ABO,1983,1735.1,0.0,BE
ABO,1984,1909.2,1.6000000000000014,BE
ABO,1985,1822.2,0.0,BE
ABO,1986,1838.0,0.0,BE
ABO,1987,1843.0,0.0,BE
ABO,1988,1711.7,0.0,BE
ABO,1989,1718.5,0.0,BE
ABO,1990,1790.2,0.0,BE
ABO,1991,1730.4,0.0,BE
ABO,1992,1707.7,0.0,BE
ABO,1993,1695.9,0.0,BE
ABO,1994,1552.4,0.0,BE
ABO,1995,1731.8,0.0,BE
ABO,1996,1825.7,0.0,BE
ABO,1997,1556.9,0.0,BE
ABO,1998,1675.1,0.0,BE
ABO,1999,1657.3,0.0,BE
ABO,2000,1582.7,0.0,BE
ABO,2001,1695.0,0.0,BE
ABO,2002,1731.8,0.0,BE
ABO,2003,1659.7,0.0,BE
ABO,2004,1685.5,0.0,BE
ABO,2005,1858.4,0.0,BE
ABO,2006,1813.7,0.0,BE
ABO,2007,1626.8,0.0,BE
ABO,2008,1666.6,0.0,BE
ABO,2009,1728.5,0.0,BE
ABO,2010,1865.8,0.0,BE
ABO,2011,1439.4,0.0,BE
ABO,2012,1855.0,0.0,BE
ABO,2013,1681.6,0.0,BE
ABO,2014,1526.5,0.0,BE
ABO,2015,1478.2,8.200000000000003,BE
ABO,2016,1662.8,0.0,BE
ABO,2017,1730.0,1.1000000000000014,BE
ABO,2018,1446.4,0.0,BE
ABO,2019,1733.1,0.0,BE
ABO,2020,1524.8,0.0,BE
ABO,2021,1756.1,0.0,BE
ABO,2022,1573.3,0.3999999999999986,BE
ABO,2023,1471.4,0.3999999999999986,BE
ABO,2024,1456.1,0.0,BE
AIG,1981,1178.1,0.0,VD
AIG,1982,1110.7,4.4999999999999964,VD
AIG,1983,1275.1,1.8000000000000043,VD
AIG,1984,1386.3,2.6999999999999993,VD
AIG,1985,1329.5,0.0,VD
AIG,1986,1359.7,1.1000000000000014,VD
AIG,1987,1274.3,0.3999999999999986,VD
AIG,1988,1174.2,0.0,VD
AIG,1989,1320.7,0.0,VD
AIG,1990,1305.8,2.3000000000000007,VD
AIG,1991,1230.8,3.5000000000000036,VD
AIG,1992,1193.0,10.400000000000002,VD
AIG,1993,1211.0,0.5000000000000036,VD
AIG,1994,1041.8,21.2,VD
AIG,1995,1228.0,2.8000000000000007,VD
AIG,1996,1285.7,0.3999999999999986,VD
AIG,1997,1123.9,0.10000000000000142,VD
AIG,1998,1128.5,10.0,VD
AIG,1999,1077.1,3.8000000000000043,VD
AIG,2000,1017.3,0.8000000000000007,VD
AIG,2001,1023.5,5.800000000000001,VD
AIG,2002,1144.0,0.0,VD
AIG,2003,1158.4,32.5,VD
AIG,2004,1180.6,1.6999999999999993,VD
AIG,2005,1276.1,0.0,VD
AIG,2006,1257.6,2.599999999999998,VD
AIG,2007,1044.7,0.10000000000000142,VD
AIG,2008,1083.3,1.4000000000000021,VD
AIG,2009,1077.2,1.3000000000000007,VD
AIG,2010,1255.5,12.100000000000001,VD
AIG,2011,994.9,0.3000000000000007,VD
AIG,2012,1188.1,0.8999999999999986,VD
AIG,2013,1183.4,7.899999999999999,VD
AIG,2014,951.3,1.6999999999999993,VD
AIG,2015,1116.5,43.8,VD
AIG,2016,1123.2,3.6000000000000014,VD
