station_abbr,status,file
ABO,SKIP,data/meteo/smn_daily_historical_by_station\smn_ABO_d_historical.csv
AIG,SKIP,data/meteo/smn_daily_historical_by_station\smn_AIG_d_historical.csv
ALT,SKIP,data/meteo/smn_daily_historical_by_station\smn_ALT_d_historical.csv
AND,SKIP,data/meteo/smn_daily_historical_by_station\smn_AND_d_historical.csv
ANT,SKIP,data/meteo/smn_daily_historical_by_station\smn_ANT_d_historical.csv
ARH,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_ARH_d_historical.csv
ARO,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_ARO_d_historical.csv
ATT,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_ATT_d_historical.csv
BAS,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BAS_d_historical.csv
BEH,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BEH_d_historical.csv
BER,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BER_d_historical.csv
BEZ,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BEZ_d_historical.csv
BIA,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BIA_d_historical.csv
BIE,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BIE_d_historical.csv
BIN,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BIN_d_historical.csv
BIV,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BIV_d_historical.csv
BIZ,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BIZ_d_historical.csv
BLA,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BLA_d_historical.csv
BOL,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BOL_d_historical.csv
BOU,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BOU_d_historical.csv
BRL,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BRL_d_historical.csv
BUF,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BUF_d_historical.csv
BUS,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_BUS_d_historical.csv
CDF,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CDF_d_historical.csv
CDM,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CDM_d_historical.csv
CEV,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CEV_d_historical.csv
CGI,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CGI_d_historical.csv
CHA,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CHA_d_historical.csv
CHB,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CHB_d_historical.csv
CHD,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CHD_d_historical.csv
CHM,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CHM_d_historical.csv
CHU,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CHU_d_historical.csv
CHZ,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CHZ_d_historical.csv
CIM,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CIM_d_historical.csv
CMA,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CMA_d_historical.csv
COM,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_COM_d_historical.csv
COV,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_COV_d_historical.csv
COY,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_COY_d_historical.csv
CRM,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_CRM_d_historical.csv
DAV,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_DAV_d_historical.csv
DEM,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_DEM_d_historical.csv
DIA,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_DIA_d_historical.csv
DIS,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_DIS_d_historical.csv
DOL,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_DOL_d_historical.csv
EBK,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_EBK_d_historical.csv
EGH,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_EGH_d_historical.csv
EGO,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_EGO_d_historical.csv
EIN,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_EIN_d_historical.csv
ELM,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_ELM_d_historical.csv
ENG,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_ENG_d_historical.csv
EVI,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_EVI_d_historical.csv
EVO,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_EVO_d_historical.csv
FAH,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_FAH_d_historical.csv
FLU,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_FLU_d_historical.csv
FRE,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_FRE_d_historical.csv
FRU,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_FRU_d_historical.csv
GEN,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_GEN_d_historical.csv
GES,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_GES_d_historical.csv
GIH,WARN: missing ReferenceTS/tre200d0,data/meteo/smn_daily_historical_by_station\smn_GIH_d_historical.csv
