station_abbr,status,file,sep,has_reference_timestamp,has_tre200d0
ABO,OK,data/meteo/smn_daily_historical_by_station\smn_ABO_d_historical.csv,",",True,True
AIG,OK,data/meteo/smn_daily_historical_by_station\smn_AIG_d_historical.csv,",",True,True
ALT,OK,data/meteo/smn_daily_historical_by_station\smn_ALT_d_historical.csv,",",True,True
AND,OK,data/meteo/smn_daily_historical_by_station\smn_AND_d_historical.csv,",",True,True
ANT,OK,data/meteo/smn_daily_historical_by_station\smn_ANT_d_historical.csv,",",True,True
ARH,OK,data/meteo/smn_daily_historical_by_station\smn_ARH_d_historical.csv,",",True,True
ARO,OK,data/meteo/smn_daily_historical_by_station\smn_ARO_d_historical.csv,",",True,True
ATT,OK,data/meteo/smn_daily_historical_by_station\smn_ATT_d_historical.csv,",",True,True
BAS,OK,data/meteo/smn_daily_historical_by_station\smn_BAS_d_historical.csv,",",True,True
BEH,OK,data/meteo/smn_daily_historical_by_station\smn_BEH_d_historical.csv,",",True,True
BER,OK,data/meteo/smn_daily_historical_by_station\smn_BER_d_historical.csv,",",True,True
BEZ,OK,data/meteo/smn_daily_historical_by_station\smn_BEZ_d_historical.csv,",",True,True
BIA,OK,data/meteo/smn_daily_historical_by_station\smn_BIA_d_historical.csv,",",True,True
BIE,OK,data/meteo/smn_daily_historical_by_station\smn_BIE_d_historical.csv,",",True,True
BIN,OK,data/meteo/smn_daily_historical_by_station\smn_BIN_d_historical.csv,",",True,True
BIV,OK,data/meteo/smn_daily_historical_by_station\smn_BIV_d_historical.csv,",",True,True
BIZ,OK,data/meteo/smn_daily_historical_by_station\smn_BIZ_d_historical.csv,",",True,True
BLA,OK,data/meteo/smn_daily_historical_by_station\smn_BLA_d_historical.csv,",",True,True
BOL,OK,data/meteo/smn_daily_historical_by_station\smn_BOL_d_historical.csv,",",True,True
BOU,OK,data/meteo/smn_daily_historical_by_station\smn_BOU_d_historical.csv,",",True,True
BRL,OK,data/meteo/smn_daily_historical_by_station\smn_BRL_d_historical.csv,",",True,True
BUF,OK,data/meteo/smn_daily_historical_by_station\smn_BUF_d_historical.csv,",",True,True
BUS,OK,data/meteo/smn_daily_historical_by_station\smn_BUS_d_historical.csv,",",True,True
CDF,OK,data/meteo/smn_daily_historical_by_station\smn_CDF_d_historical.csv,",",True,True
CDM,OK,data/meteo/smn_daily_historical_by_station\smn_CDM_d_historical.csv,",",True,True
CEV,OK,data/meteo/smn_daily_historical_by_station\smn_CEV_d_historical.csv,",",True,True
CGI,OK,data/meteo/smn_daily_historical_by_station\smn_CGI_d_historical.csv,",",True,True
CHA,OK,data/meteo/smn_daily_historical_by_station\smn_CHA_d_historical.csv,",",True,True
CHB,OK,data/meteo/smn_daily_historical_by_station\smn_CHB_d_historical.csv,",",True,True
CHD,OK,data/meteo/smn_daily_historical_by_station\smn_CHD_d_historical.csv,",",True,True
CHM,OK,data/meteo/smn_daily_historical_by_station\smn_CHM_d_historical.csv,",",True,True
CHU,OK,data/meteo/smn_daily_historical_by_station\smn_CHU_d_historical.csv,",",True,True
CHZ,OK,data/meteo/smn_daily_historical_by_station\smn_CHZ_d_historical.csv,",",True,True
CIM,OK,data/meteo/smn_daily_historical_by_station\smn_CIM_d_historical.csv,",",True,True
CMA,OK,data/meteo/smn_daily_historical_by_station\smn_CMA_d_historical.csv,",",True,True
COM,OK,data/meteo/smn_daily_historical_by_station\smn_COM_d_historical.csv,",",True,True
COV,OK,data/meteo/smn_daily_historical_by_station\smn_COV_d_historical.csv,",",True,True
COY,OK,data/meteo/smn_daily_historical_by_station\smn_COY_d_historical.csv,",",True,True
