station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BOL,10.07.1993 00:00,,,,,,,,,,,,,,2.1,13.0,,46.8,,,,,,,,,,,,,,,,217.0,,,,,,
BOL,11.07.1993 00:00,,,,,,,,,,,,,,1.7,9.4,,33.8,,,,,,,,,,,,,,,,236.0,,,,,,
BOL,12.07.1993 00:00,,,,,,,,,,,,,,2.3,13.6,,49.0,,,,,,,,,,,,,,,,237.0,,,,,,
BOL,13.07.1993 00:00,,,,,,,,,,,,,,0.9,5.3,,19.1,,,,,,,,,,,,,,,,72.0,,,,,,
BOL,14.07.1993 00:00,,,,,,,,,,,,,,2.4,9.0,,32.4,,,,,,,,,,,,,,,,232.0,,,,,,
BOL,15.07.1993 00:00,,,,,,,,,,,,,,2.2,10.5,,37.8,,,,,,,,,,,,,,,,240.0,,,,,,
BOL,16.07.1993 00:00,,,,,,,,,,,,,,3.0,11.3,,40.7,,,,,,,,,,,,,,,,241.0,,,,,,
BOL,17.07.1993 00:00,,,,,,,,,,,,,,1.7,10.9,,39.2,,,,,,,,,,,,,,,,225.0,,,,,,
BOL,18.07.1993 00:00,,,,,,,,,,,,,,2.0,10.9,,39.2,,,,,,,,,,,,,,,,90.0,,,,,,
BOL,19.07.1993 00:00,,,,,,,,,,,,,,2.0,9.5,,34.2,,,,,,,,,,,,,,,,216.0,,,,,,
BOL,20.07.1993 00:00,,,,,,,,,,,,,,1.9,13.0,,46.8,,,,,,,,,,,,,,,,220.0,,,,,,
BOL,21.07.1993 00:00,,,,,,,,,,,,,,0.9,8.3,,29.9,,,,,,,,,,,,,,,,63.0,,,,,,
BOL,22.07.1993 00:00,,,,,,,,,,,,,,0.9,6.0,,21.6,,,,,,,,,,,,,,,,68.0,,,,,,
BOL,23.07.1993 00:00,,,,,,,,,,,,,,2.3,8.0,,28.8,,,,,,,,,,,,,,,,58.0,,,,,,
BOL,24.07.1993 00:00,,,,,,,,,,,,,,2.1,9.3,,33.5,,,,,,,,,,,,,,,,63.0,,,,,,
BOL,25.07.1993 00:00,,,,,,,,,,,,,,3.2,11.5,,41.4,,,,,,,,,,,,,,,,226.0,,,,,,
BOL,26.07.1993 00:00,,,,,,,,,,,,,,1.6,9.2,,33.1,,,,,,,,,,,,,,,,225.0,,,,,,
BOL,27.07.1993 00:00,,,,,,,,,,,,,,3.0,11.0,,39.6,,,,,,,,,,,,,,,,209.0,,,,,,
BOL,28.07.1993 00:00,,,,,,,,,,,,,,2.6,12.3,,44.3,,,,,,,,,,,,,,,,239.0,,,,,,
BOL,29.07.1993 00:00,,,,,,,,,,,,,,2.0,6.2,,22.3,,,,,,,,,,,,,,,,68.0,,,,,,
BOL,30.07.1993 00:00,,,,,,,,,,,,,,1.7,8.5,,30.6,,,,,,,,,,,,,,,,76.0,,,,,,
BOL,31.07.1993 00:00,,,,,,,,,,,,,,2.5,13.5,,48.6,,,,,,,,,,,,,,,,90.0,,,,,,
BOL,01.08.1993 00:00,,,,,,,,,,,,,,2.4,8.6,,31.0,,,,,,,,,,,,,,,,47.0,,,,,,
BOL,02.08.1993 00:00,,,,,,,,,,,,,,1.6,10.1,,36.4,,,,,,,,,,,,,,,,222.0,,,,,,
BOL,03.08.1993 00:00,,,,,,,,,,,,,,1.5,8.0,,28.8,,,,,,,,,,,,,,,,81.0,,,,,,
BOL,04.08.1993 00:00,,,,,,,,,,,,,,1.8,10.5,,37.8,,,,,,,,,,,,,,,,90.0,,,,,,
BOL,05.08.1993 00:00,,,,,,,,,,,,,,2.6,12.0,,43.2,,,,,,,,,,,,,,,,233.0,,,,,,
BOL,06.08.1993 00:00,,,,,,,,,,,,,,2.9,9.2,,33.1,,,,,,,,,,,,,,,,56.0,,,,,,
BOL,07.08.1993 00:00,,,,,,,,,,,,,,2.5,9.1,,32.8,,,,,,,,,,,,,,,,52.0,,,,,,
BOL,08.08.1993 00:00,,,,,,,,,,,,,,1.6,10.1,,36.4,,,,,,,,,,,,,,,,59.0,,,,,,
BOL,09.08.1993 00:00,,,,,,,,,,,,,,1.9,7.8,,28.1,,,,,,,,,,,,,,,,69.0,,,,,,
BOL,10.08.1993 00:00,,,,,,,,,,,,,,3.0,10.3,,37.1,,,,,,,,,,,,,,,,239.0,,,,,,
BOL,11.08.1993 00:00,,,,,,,,,,,,,,1.8,6.5,,23.4,,,,,,,,,,,,,,,,72.0,,,,,,
BOL,12.08.1993 00:00,,,,,,,,,,,,,,2.0,9.5,,34.2,,,,,,,,,,,,,,,,153.0,,,,,,
BOL,13.08.1993 00:00,,,,,,,,,,,,,,2.6,9.0,,32.4,,,,,,,,,,,,,,,,48.0,,,,,,
BOL,14.08.1993 00:00,,,,,,,,,,,,,,1.8,8.1,,29.2,,,,,,,,,,,,,,,,74.0,,,,,,
BOL,15.08.1993 00:00,,,,,,,,,,,,,,2.0,11.7,,42.1,,,,,,,,,,,,,,,,198.0,,,,,,
BOL,16.08.1993 00:00,,,,,,,,,,,,,,2.1,8.0,,28.8,,,,,,,,,,,,,,,,56.0,,,,,,
BOL,17.08.1993 00:00,,,,,,,,,,,,,,2.0,8.6,,31.0,,,,,,,,,,,,,,,,66.0,,,,,,
BOL,18.08.1993 00:00,,,,,,,,,,,,,,2.4,8.8,,31.7,,,,,,,,,,,,,,,,67.0,,,,,,
BOL,19.08.1993 00:00,,,,,,,,,,,,,,1.5,8.3,,29.9,,,,,,,,,,,,,,,,225.0,,,,,,
BOL,20.08.1993 00:00,,,,,,,,,,,,,,2.0,7.8,,28.1,,,,,,,,,,,,,,,,58.0,,,,,,
BOL,21.08.1993 00:00,,,,,,,,,,,,,,2.1,8.0,,28.8,,,,,,,,,,,,,,,,74.0,,,,,,
BOL,22.08.1993 00:00,,,,,,,,,,,,,,3.3,17.3,,62.3,,,,,,,,,,,,,,,,230.0,,,,,,
BOL,23.08.1993 00:00,,,,,,,,,,,,,,1.5,8.3,,29.9,,,,,,,,,,,,,,,,180.0,,,,,,
BOL,24.08.1993 00:00,,,,,,,,,,,,,,2.6,8.6,,31.0,,,,,,,,,,,,,,,,60.0,,,,,,
BOL,25.08.1993 00:00,,,,,,,,,,,,,,2.2,7.2,,25.9,,,,,,,,,,,,,,,,57.0,,,,,,
BOL,26.08.1993 00:00,,,,,,,,,,,,,,2.0,7.7,,27.7,,,,,,,,,,,,,,,,54.0,,,,,,
BOL,27.08.1993 00:00,,,,,,,,,,,,,,1.5,10.3,,37.1,,,,,,,,,,,,,,,,153.0,,,,,,
BOL,28.08.1993 00:00,,,,,,,,,,,,,,1.8,6.6,,23.8,,,,,,,,,,,,,,,,58.0,,,,,,
