station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BOU,15.09.1993 00:00,,,,,,,,,,,,,,3.1,15.8,11.2,56.9,,,,,,,,,,,,,,,,153.0,,,,,,
BOU,16.09.1993 00:00,,,,,,,,,,,,,,2.9,14.8,10.4,53.3,,,,,,,,,,,,,,,,156.0,,,,,,
BOU,17.09.1993 00:00,,,,,,,,,,,,,,1.9,6.3,6.8,22.7,,,,,,,,,,,,,,,,202.0,,,,,,
BOU,18.09.1993 00:00,,,,,,,,,,,,,,1.8,8.2,6.5,29.5,,,,,,,,,,,,,,,,180.0,,,,,,
BOU,19.09.1993 00:00,,,,,,,,,,,,,,2.1,13.5,7.6,48.6,,,,,,,,,,,,,,,,248.0,,,,,,
BOU,20.09.1993 00:00,,,,,,,,,,,,,,1.1,4.3,4.0,15.5,,,,,,,,,,,,,,,,252.0,,,,,,
BOU,21.09.1993 00:00,,,,,,,,,,,,,,1.0,4.1,3.6,14.8,,,,,,,,,,,,,,,,270.0,,,,,,
BOU,22.09.1993 00:00,,,,,,,,,,,,,,2.2,10.0,7.9,36.0,,,,,,,,,,,,,,,,288.0,,,,,,
BOU,23.09.1993 00:00,,,,,,,,,,,,,,2.3,10.7,8.3,38.5,,,,,,,,,,,,,,,,234.0,,,,,,
BOU,24.09.1993 00:00,,,,,,,,,,,,,,2.4,10.5,8.6,37.8,,,,,,,,,,,,,,,,309.0,,,,,,
BOU,25.09.1993 00:00,,,,,,,,,,,,,,5.3,16.3,19.1,58.7,,,,,,,,,,,,,,,,310.0,,,,,,
BOU,26.09.1993 00:00,,,,,,,,,,,,,,1.2,4.6,4.3,16.6,,,,,,,,,,,,,,,,143.0,,,,,,
BOU,27.09.1993 00:00,,,,,,,,,,,,,,2.6,7.3,9.4,26.3,,,,,,,,,,,,,,,,225.0,,,,,,
BOU,28.09.1993 00:00,,,,,,,,,,,,,,2.8,11.3,10.1,40.7,,,,,,,,,,,,,,,,288.0,,,,,,
BOU,29.09.1993 00:00,,,,,,,,,,,,,,2.2,5.5,7.9,19.8,,,,,,,,,,,,,,,,163.0,,,,,,
BOU,30.09.1993 00:00,,,,,,,,,,,,,,2.7,10.3,9.7,37.1,,,,,,,,,,,,,,,,264.0,,,,,,
BOU,01.10.1993 00:00,,,,,,,,,,,,,,2.0,7.5,7.2,27.0,,,,,,,,,,,,,,,,257.0,,,,,,
BOU,02.10.1993 00:00,,,,,,,,,,,,,,2.2,14.8,7.9,53.3,,,,,,,,,,,,,,,,138.0,,,,,,
BOU,03.10.1993 00:00,,,,,,,,,,,,,,2.0,7.5,7.2,27.0,,,,,,,,,,,,,,,,135.0,,,,,,
BOU,04.10.1993 00:00,,,,,,,,,,,,,,2.9,10.6,10.4,38.2,,,,,,,,,,,,,,,,169.0,,,,,,
BOU,05.10.1993 00:00,,,,,,,,,,,,,,1.8,8.8,6.5,31.7,,,,,,,,,,,,,,,,270.0,,,,,,
BOU,06.10.1993 00:00,,,,,,,,,,,,,,3.0,17.6,10.8,63.4,,,,,,,,,,,,,,,,298.0,,,,,,
BOU,07.10.1993 00:00,,,,,,,,,,,,,,2.3,7.5,8.3,27.0,,,,,,,,,,,,,,,,283.0,,,,,,
BOU,08.10.1993 00:00,,,,,,,,,,,,,,2.4,13.2,8.6,47.5,,,,,,,,,,,,,,,,261.0,,,,,,
BOU,09.10.1993 00:00,,,,,,,,,,,,,,1.7,5.3,6.1,19.1,,,,,,,,,,,,,,,,153.0,,,,,,
BOU,10.10.1993 00:00,,,,,,,,,,,,,,1.7,10.2,6.1,36.7,,,,,,,,,,,,,,,,276.0,,,,,,
BOU,11.10.1993 00:00,,,,,,,,,,,,,,4.9,17.0,17.6,61.2,,,,,,,,,,,,,,,,178.0,,,,,,
BOU,12.10.1993 00:00,,,,,,,,,,,,,,3.3,14.3,11.9,51.5,,,,,,,,,,,,,,,,298.0,,,,,,
BOU,13.10.1993 00:00,,,,,,,,,,,,,,2.2,9.8,7.9,35.3,,,,,,,,,,,,,,,,311.0,,,,,,
BOU,14.10.1993 00:00,,,,,,,,,,,,,,2.6,17.8,9.4,64.1,,,,,,,,,,,,,,,,198.0,,,,,,
BOU,15.10.1993 00:00,,,,,,,,,,,,,,2.8,14.2,10.1,51.1,,,,,,,,,,,,,,,,214.0,,,,,,
BOU,16.10.1993 00:00,,,,,,,,,,,,,,1.9,5.6,6.8,20.2,,,,,,,,,,,,,,,,236.0,,,,,,
BOU,17.10.1993 00:00,,,,,,,,,,,,,,2.6,9.2,9.4,33.1,,,,,,,,,,,,,,,,297.0,,,,,,
BOU,18.10.1993 00:00,,,,,,,,,,,,,,3.0,5.7,10.8,20.5,,,,,,,,,,,,,,,,313.0,,,,,,
BOU,19.10.1993 00:00,,,,,,,,,,,,,,2.5,6.3,9.0,22.7,,,,,,,,,,,,,,,,295.0,,,,,,
BOU,20.10.1993 00:00,,,,,,,,,,,,,,2.4,7.3,8.6,26.3,,,,,,,,,,,,,,,,286.0,,,,,,
BOU,21.10.1993 00:00,,,,,,,,,,,,,,4.0,14.0,14.4,50.4,,,,,,,,,,,,,,,,293.0,,,,,,
BOU,22.10.1993 00:00,,,,,,,,,,,,,,6.0,15.5,21.6,55.8,,,,,,,,,,,,,,,,347.0,,,,,,
BOU,23.10.1993 00:00,,,,,,,,,,,,,,2.8,7.7,10.1,27.7,,,,,,,,,,,,,,,,310.0,,,,,,
BOU,24.10.1993 00:00,,,,,,,,,,,,,,1.8,7.0,6.5,25.2,,,,,,,,,,,,,,,,301.0,,,,,,
BOU,25.10.1993 00:00,,,,,,,,,,,,,,2.6,7.8,9.4,28.1,,,,,,,,,,,,,,,,308.0,,,,,,
BOU,26.10.1993 00:00,,,,,,,,,,,,,,2.6,6.3,9.4,22.7,,,,,,,,,,,,,,,,320.0,,,,,,
BOU,27.10.1993 00:00,,,,,,,,,,,,,,1.9,5.6,6.8,20.2,,,,,,,,,,,,,,,,135.0,,,,,,
BOU,28.10.1993 00:00,,,,,,,,,,,,,,1.3,4.1,4.7,14.8,,,,,,,,,,,,,,,,189.0,,,,,,
BOU,29.10.1993 00:00,,,,,,,,,,,,,,1.8,4.8,6.5,17.3,,,,,,,,,,,,,,,,172.0,,,,,,
BOU,30.10.1993 00:00,,,,,,,,,,,,,,1.7,4.1,6.1,14.8,,,,,,,,,,,,,,,,153.0,,,,,,
BOU,31.10.1993 00:00,,,,,,,,,,,,,,1.3,4.3,4.7,15.5,,,,,,,,,,,,,,,,207.0,,,,,,
