station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BUF,01.01.1917 00:00,-3.3,,-5.5,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,23.3,,,,,
BUF,02.01.1917 00:00,-4.2,,-5.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,24.2,,,,,
BUF,03.01.1917 00:00,-0.7,,-4.5,,,,,,,,,,,,,,,,,,22.5,,,,,,,,,,,,,20.7,,,,,
BUF,04.01.1917 00:00,-8.2,,-11.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,28.2,,,,,
BUF,05.01.1917 00:00,-12.0,,-14.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,32.0,,,,,
BUF,06.01.1917 00:00,-17.8,,-24.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,37.8,,,,,
BUF,07.01.1917 00:00,-16.1,,-23.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,36.1,,,,,
BUF,08.01.1917 00:00,-16.4,,-24.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,36.4,,,,,
BUF,09.01.1917 00:00,-6.4,,-18.0,,,,,,,,,,,,,,,,,,18.2,,,,,,,,,,,,,26.4,,,,,
BUF,10.01.1917 00:00,-13.6,,-10.0,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,33.6,,,,,
BUF,11.01.1917 00:00,-18.8,,-22.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,38.8,,,,,
