station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CMA,24.03.1993 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,,,,,,
CMA,25.03.1993 00:00,-3.9,2.1,-14.5,,,,,,,,,,,,26.6,,95.8,,,,,,,,,,,,,,,,25.0,23.9,15.9,,,,
CMA,26.03.1993 00:00,-14.7,-13.7,-15.9,,,,,,,,,,,,21.8,,78.5,,,,,,,,,,,,,,,,22.0,34.7,26.7,,,,
CMA,27.03.1993 00:00,-16.3,-15.3,-17.7,,,,,,,,,,,,22.3,4766.8,80.3,,,,,,,,,,,,,,,,21.0,36.3,28.3,,,,
CMA,28.03.1993 00:00,-17.4,-15.9,-18.4,,,,,,,,,,,,21.7,2662.2,78.1,,,,,,,,,,,,,,,,9.0,37.4,29.4,,,,
CMA,29.03.1993 00:00,-14.7,-12.4,-18.2,,,,,,,,,,,,18.1,2589.8,65.2,,,,,,,,,,,,,,,,326.0,34.7,26.7,,,,
CMA,30.03.1993 00:00,-8.6,-4.7,-13.3,,,,,,,,,,,,23.9,,86.0,,,,,,,,,,,,,,,,297.0,28.6,20.6,,,,
CMA,31.03.1993 00:00,-2.5,-0.7,-5.0,,,,,,,,,,,,19.0,,68.4,,,,,,,,,,,,,,,,290.0,22.5,14.5,,,,
CMA,01.04.1993 00:00,-2.1,0.6,-4.7,,,,,,,,,,,,13.1,,47.2,,,,,,,,,,,,,,,,229.0,22.1,14.1,,,,
CMA,02.04.1993 00:00,-5.9,-4.3,-8.6,,,,,,,,,,,,11.9,,42.8,,,,,,,,,,,,,,,,31.0,25.9,17.9,,,,
CMA,03.04.1993 00:00,-7.2,-5.4,-9.0,,,,,,,,,,,,10.3,913.0,37.1,,,,,,,,,,,,,,,,17.0,27.2,19.2,,,,
CMA,04.04.1993 00:00,-7.9,-4.7,-11.5,,,,,,,,,,,,29.4,,105.8,,,,,,,,,,,,,,,,302.0,27.9,19.9,,,,
CMA,05.04.1993 00:00,-8.3,-4.8,-12.1,,,,,,,,,,,,12.3,,44.3,,,,,,,,,,,,,,,,245.0,28.3,20.3,,,,
CMA,06.04.1993 00:00,-4.0,-1.5,-6.5,,,,,,,,,,,,26.2,,94.3,,,,,,,,,,,,,,,,265.0,24.0,16.0,,,,
CMA,07.04.1993 00:00,-5.3,-3.2,-6.9,,,,,,,,,,,,24.9,2675.9,89.6,,,,,,,,,,,,,,,,303.0,25.3,17.3,,,,
CMA,08.04.1993 00:00,-4.2,-2.4,-7.1,,,,,,,,,,,,29.0,2362.7,104.4,,,,,,,,,,,,,,,,301.0,24.2,16.2,,,,
CMA,09.04.1993 00:00,-1.5,1.7,-7.3,,,,,,,,,,,4.0,18.7,14.4,67.3,,,,,,,,,,,,,,,,255.0,21.5,13.5,,,,
CMA,10.04.1993 00:00,-2.0,-0.7,-3.3,,,,,,,,,,,1.7,7.0,6.1,25.2,,,,,,,,,,,,,,,,259.0,22.0,14.0,,,,
CMA,11.04.1993 00:00,-5.2,-2.7,-7.1,,,,,,,,,,,3.0,14.9,10.8,53.6,,,,,,,,,,,,,,,,319.0,25.2,17.2,,,,
CMA,12.04.1993 00:00,-6.5,-4.9,-8.1,,,,,,,,,,,1.9,6.8,6.8,24.5,,,,,,,,,,,,,,,,315.0,26.5,18.5,,,,
CMA,13.04.1993 00:00,-6.2,-4.8,-8.0,,,,,,,,,,,2.0,5.8,7.2,20.9,,,,,,,,,,,,,,,,210.0,26.2,18.2,,,,
CMA,14.04.1993 00:00,-4.9,-2.8,-7.0,,,,,,,,,,,1.9,8.4,6.8,30.2,,,,,,,,,,,,,,,,204.0,24.9,16.9,,,,
CMA,15.04.1993 00:00,-5.1,-3.8,-6.1,,,,,,,,,,,7.9,17.8,28.4,64.1,,,,,,,,,,,,,,,,25.0,25.1,17.1,,,,
CMA,16.04.1993 00:00,-5.5,-3.5,-6.4,,,,,,,,,,,4.9,14.8,17.6,53.3,,,,,,,,,,,,,,,,19.0,25.5,17.5,,,,
CMA,17.04.1993 00:00,-5.5,-3.5,-6.8,,,,,,,,,,,4.3,15.8,15.5,56.9,,,,,,,,,,,,,,,,328.0,25.5,17.5,,,,
CMA,18.04.1993 00:00,-2.6,-0.6,-5.4,,,,,,,,,,,4.1,15.1,14.8,54.4,,,,,,,,,,,,,,,,280.0,22.6,14.6,,,,
CMA,19.04.1993 00:00,-0.4,2.0,-2.9,,,,,,,,,,,5.0,16.9,18.0,60.8,,,,,,,,,,,,,,,,270.0,20.4,12.4,,,,
CMA,20.04.1993 00:00,1.7,4.0,-0.5,,,,,,,,,,,2.7,7.8,9.7,28.1,,,,,,,,,,,,,,,,210.0,18.3,10.3,,,,
CMA,21.04.1993 00:00,0.6,3.0,-1.2,,,,,,,,,,,5.1,11.4,18.4,41.0,,,,,,,,,,,,,,,,234.0,19.4,11.4,,,,
CMA,22.04.1993 00:00,0.6,3.2,-1.0,,,,,,,,,,,4.4,11.6,15.8,41.8,,,,,,,,,,,,,,,,234.0,19.4,11.4,,,,
CMA,23.04.1993 00:00,0.2,2.8,-2.3,,,,,,,,,,,6.8,16.1,24.5,58.0,,,,,,,,,,,,,,,,218.0,19.8,11.8,,,,
CMA,24.04.1993 00:00,-0.9,0.9,-2.5,,,,,,,,,,,9.8,19.9,35.3,71.6,,,,,,,,,,,,,,,,205.0,20.9,12.9,,,,
CMA,25.04.1993 00:00,-0.7,1.5,-2.3,,,,,,,,,,,9.8,21.3,35.3,76.7,,,,,,,,,,,,,,,,187.0,20.7,12.7,,,,
CMA,26.04.1993 00:00,0.5,3.3,-2.5,,,,,,,,,,,10.4,25.1,37.4,90.4,,,,,,,,,,,,,,,,197.0,19.5,11.5,,,,
CMA,27.04.1993 00:00,2.7,5.2,0.3,,,,,,,,,,,6.0,11.5,21.6,41.4,,,,,,,,,,,,,,,,207.0,17.3,9.3,,,,
CMA,28.04.1993 00:00,1.3,3.4,-0.7,,,,,,,,,,,7.2,14.0,25.9,50.4,,,,,,,,,,,,,,,,208.0,18.7,10.7,,,,
CMA,29.04.1993 00:00,1.2,3.5,-1.2,,,,,,,,,,,3.7,9.4,13.3,33.8,,,,,,,,,,,,,,,,192.0,18.8,10.8,,,,
CMA,30.04.1993 00:00,0.2,3.1,-1.4,,,,,,,,,,,5.0,12.3,18.0,44.3,,,,,,,,,,,,,,,,225.0,19.8,11.8,,,,
CMA,01.05.1993 00:00,-0.6,1.6,-2.0,,,,,,,,,,,2.5,7.4,9.0,26.6,,,,,,,,,,,,,,,,242.0,20.6,12.6,,,,
CMA,02.05.1993 00:00,-0.6,1.2,-2.3,,,,,,,,,,,3.0,10.4,10.8,37.4,,,,,,,,,,,,,,,,346.0,20.6,12.6,,,,
CMA,03.05.1993 00:00,0.0,1.5,-1.7,,,,,,,,,,,3.1,11.5,11.2,41.4,,,,,,,,,,,,,,,,13.0,20.0,12.0,,,,
CMA,04.05.1993 00:00,0.6,3.1,-1.1,,,,,,,,,,,1.5,7.6,5.4,27.4,,,,,,,,,,,,,,,,279.0,19.4,11.4,,,,
CMA,05.05.1993 00:00,0.5,3.0,-1.0,,,,,,,,,,,2.2,9.0,7.9,32.4,,,,,,,,,,,,,,,,324.0,19.5,11.5,,,,
CMA,06.05.1993 00:00,-0.4,1.0,-1.2,,,,,,,,,,,2.4,7.1,8.6,25.6,,,,,,,,,,,,,,,,192.0,20.4,12.4,,,,
CMA,07.05.1993 00:00,0.6,3.1,-1.4,,,,,,,,,,,3.2,8.9,11.5,32.0,,,,,,,,,,,,,,,,212.0,19.4,11.4,,,,
CMA,08.05.1993 00:00,1.0,4.0,-0.8,,,,,,,,,,,3.2,9.5,11.5,34.2,,,,,,,,,,,,,,,,225.0,19.0,11.0,,,,
CMA,09.05.1993 00:00,1.3,3.5,-0.7,,,,,,,,,,,4.6,9.6,16.6,34.6,,,,,,,,,,,,,,,,231.0,18.7,10.7,,,,
CMA,10.05.1993 00:00,2.3,4.9,0.1,,,,,,,,,,,5.0,11.4,18.0,41.0,,,,,,,,,,,,,,,,222.0,17.7,9.7,,,,
CMA,11.05.1993 00:00,1.9,3.0,1.1,,,,,,,,,,,3.3,9.9,11.9,35.6,,,,,,,,,,,,,,,,230.0,18.1,10.1,,,,
CMA,12.05.1993 00:00,1.0,2.3,-0.2,,,,,,,,,,,2.3,7.9,8.3,28.4,,,,,,,,,,,,,,,,208.0,19.0,11.0,,,,
CMA,13.05.1993 00:00,0.8,3.4,-0.7,,,,,,,,,,,3.8,11.0,13.7,39.6,,,,,,,,,,,,,,,,232.0,19.2,11.2,,,,
CMA,14.05.1993 00:00,0.5,2.4,-0.8,,,,,,,,,,,1.9,7.0,6.8,25.2,,,,,,,,,,,,,,,,301.0,19.5,11.5,,,,
CMA,15.05.1993 00:00,0.5,2.1,-1.0,,,,,,,,,,,3.0,18.6,10.8,67.0,,,,,,,,,,,,,,,,339.0,19.5,11.5,,,,
CMA,16.05.1993 00:00,1.2,4.2,-1.1,,,,,,,,,,,2.5,7.4,9.0,26.6,,,,,,,,,,,,,,,,225.0,18.8,10.8,,,,
CMA,17.05.1993 00:00,2.7,4.8,0.9,,,,,,,,,,,5.6,12.0,20.2,43.2,,,,,,,,,,,,,,,,229.0,17.3,9.3,,,,
CMA,18.05.1993 00:00,3.0,5.9,1.2,,,,,,,,,,,5.7,14.0,20.5,50.4,,,,,,,,,,,,,,,,232.0,17.0,9.0,,,,
CMA,19.05.1993 00:00,3.2,6.6,0.7,,,,,,,,,,,5.6,12.5,20.2,45.0,,,,,,,,,,,,,,,,218.0,16.8,8.8,,,,
CMA,20.05.1993 00:00,2.9,5.2,0.6,,,,,,,,,,,6.1,13.2,22.0,47.5,,,,,,,,,,,,,,,,197.0,17.1,9.1,,,,
CMA,21.05.1993 00:00,-1.8,2.1,-4.4,,,,,,,,,,,3.9,14.7,14.0,52.9,,,,,,,,,,,,,,,,243.0,21.8,13.8,,,,
CMA,22.05.1993 00:00,1.1,5.1,-5.3,,,,,,,,,,,2.3,7.2,8.3,25.9,,,,,,,,,,,,,,,,225.0,18.9,10.9,,,,
CMA,23.05.1993 00:00,4.8,7.0,2.0,,,,,,,,,,,1.7,7.1,6.1,25.6,,,,,,,,,,,,,,,,27.0,15.2,7.2,,,,
CMA,24.05.1993 00:00,6.7,9.5,4.5,,,,,,,,,,,3.8,14.6,13.7,52.6,,,,,,,,,,,,,,,,279.0,13.3,5.3,,,,
CMA,25.05.1993 00:00,8.3,11.2,5.3,,,,,,,,,,,3.0,9.0,10.8,32.4,,,,,,,,,,,,,,,,285.0,11.7,3.7,,,,
CMA,26.05.1993 00:00,8.9,12.7,5.5,,,,,,,,,,,6.5,22.3,23.4,80.3,,,,,,,,,,,,,,,,215.0,11.1,3.1,,,,
CMA,27.05.1993 00:00,4.4,6.3,1.7,,,,,,,,,,,12.7,27.9,45.7,100.4,,,,,,,,,,,,,,,,220.0,15.6,7.6,,,,
CMA,28.05.1993 00:00,0.5,3.3,-1.7,,,,,,,,,,,3.2,23.9,11.5,86.0,,,,,,,,,,,,,,,,279.0,19.5,11.5,,,,
CMA,29.05.1993 00:00,2.6,8.1,-1.6,,,,,,,,,,,3.4,11.7,12.2,42.1,,,,,,,,,,,,,,,,221.0,17.4,9.4,,,,
CMA,30.05.1993 00:00,4.0,8.1,0.8,,,,,,,,,,,4.7,14.0,16.9,50.4,,,,,,,,,,,,,,,,236.0,16.0,8.0,,,,
CMA,31.05.1993 00:00,2.7,7.3,-0.2,,,,,,,,,,,2.7,13.0,9.7,46.8,,,,,,,,,,,,,,,,277.0,17.3,9.3,,,,
CMA,01.06.1993 00:00,5.4,9.4,1.9,,,,,,,,,,,4.2,9.8,15.1,35.3,,,,,,,,,,,,,,,,227.0,14.6,6.6,,,,
CMA,02.06.1993 00:00,2.0,4.9,-1.3,,,,,,,,,,,5.5,23.9,19.8,86.0,,,,,,,,,,,,,,,,268.0,18.0,10.0,,,,
CMA,03.06.1993 00:00,-0.4,0.9,-1.4,,,,,,,,,,,6.1,19.5,22.0,70.2,,,,,,,,,,,,,,,,348.0,20.4,12.4,,,,
CMA,04.06.1993 00:00,3.2,6.3,-0.1,,,,,,,,,,,2.7,12.6,9.7,45.4,,,,,,,,,,,,,,,,33.0,16.8,8.8,,,,
CMA,05.06.1993 00:00,6.7,10.9,3.2,,,,,,,,,,,2.1,9.6,7.6,34.6,,,,,,,,,,,,,,,,304.0,13.3,5.3,,,,
CMA,06.06.1993 00:00,7.9,11.2,5.4,,,,,,,,,,,3.4,9.7,12.2,34.9,,,,,,,,,,,,,,,,333.0,12.1,4.1,,,,
CMA,07.06.1993 00:00,8.8,12.2,6.3,,,,,,,,,,,2.9,13.0,10.4,46.8,,,,,,,,,,,,,,,,332.0,11.2,3.2,,,,
CMA,08.06.1993 00:00,10.0,14.1,6.3,,,,,,,,,,,2.0,7.2,7.2,25.9,,,,,,,,,,,,,,,,217.0,10.0,2.0,,,,
CMA,09.06.1993 00:00,9.0,13.3,4.7,,,,,,,,,,,5.9,15.2,21.2,54.7,,,,,,,,,,,,,,,,220.0,11.0,3.0,,,,
CMA,10.06.1993 00:00,5.8,7.9,4.5,,,,,,,,,,,6.1,13.2,22.0,47.5,,,,,,,,,,,,,,,,206.0,14.2,6.2,,,,
CMA,11.06.1993 00:00,3.9,8.5,-2.2,,,,,,,,,,,4.6,19.2,16.6,69.1,,,,,,,,,,,,,,,,231.0,16.1,8.1,,,,
CMA,12.06.1993 00:00,-1.1,0.3,-2.2,,,,,,,,,,,2.5,11.5,9.0,41.4,,,,,,,,,,,,,,,,302.0,21.1,13.1,,,,
CMA,13.06.1993 00:00,-1.1,0.3,-2.6,,,,,,,,,,,1.7,9.3,6.1,33.5,,,,,,,,,,,,,,,,321.0,21.1,13.1,,,,
CMA,14.06.1993 00:00,1.0,4.8,-1.3,,,,,,,,,,,2.0,11.0,7.2,39.6,,,,,,,,,,,,,,,,297.0,19.0,11.0,,,,
CMA,15.06.1993 00:00,2.1,4.6,0.2,,,,,,,,,,,3.1,16.0,11.2,57.6,,,,,,,,,,,,,,,,315.0,17.9,9.9,,,,
CMA,16.06.1993 00:00,5.2,9.7,1.2,,,,,,,,,,,3.0,10.7,10.8,38.5,,,,,,,,,,,,,,,,277.0,14.8,6.8,,,,
CMA,17.06.1993 00:00,3.1,5.4,0.6,,,,,,,,,,,7.0,29.5,25.2,106.2,,,,,,,,,,,,,,,,301.0,16.9,8.9,,,,
CMA,18.06.1993 00:00,6.1,10.3,0.3,,,,,,,,,,,2.0,6.5,7.2,23.4,,,,,,,,,,,,,,,,236.0,13.9,5.9,,,,
CMA,19.06.1993 00:00,10.0,14.3,6.2,,,,,,,,,,,3.8,10.7,13.7,38.5,,,,,,,,,,,,,,,,230.0,10.0,2.0,,,,
CMA,20.06.1993 00:00,6.6,8.6,3.7,,,,,,,,,,,3.0,23.3,10.8,83.9,,,,,,,,,,,,,,,,252.0,13.4,5.4,,,,
CMA,21.06.1993 00:00,6.4,9.2,3.8,,,,,,,,,,,3.6,16.9,13.0,60.8,,,,,,,,,,,,,,,,242.0,13.6,5.6,,,,
CMA,22.06.1993 00:00,6.4,10.2,3.9,,,,,,,,,,,4.1,10.4,14.8,37.4,,,,,,,,,,,,,,,,219.0,13.6,5.6,,,,
CMA,23.06.1993 00:00,4.6,6.3,2.5,,,,,,,,,,,2.6,10.6,9.4,38.2,,,,,,,,,,,,,,,,306.0,15.4,7.4,,,,
CMA,24.06.1993 00:00,2.1,4.6,-0.2,,,,,,,,,,,4.0,15.7,14.4,56.5,,,,,,,,,,,,,,,,297.0,17.9,9.9,,,,
CMA,25.06.1993 00:00,4.4,9.2,-0.4,,,,,,,,,,,4.6,14.6,16.6,52.6,,,,,,,,,,,,,,,,275.0,15.6,7.6,,,,
CMA,26.06.1993 00:00,3.6,6.6,1.0,,,,,,,,,,,8.1,24.4,29.2,87.8,,,,,,,,,,,,,,,,303.0,16.4,8.4,,,,
CMA,27.06.1993 00:00,5.9,9.2,2.9,,,,,,,,,,,7.5,22.2,27.0,79.9,,,,,,,,,,,,,,,,294.0,14.1,6.1,,,,
CMA,28.06.1993 00:00,5.6,8.1,3.9,,,,,,,,,,,6.3,22.3,22.7,80.3,,,,,,,,,,,,,,,,299.0,14.4,6.4,,,,
CMA,29.06.1993 00:00,8.0,12.2,3.7,,,,,,,,,,,3.8,11.9,13.7,42.8,,,,,,,,,,,,,,,,239.0,12.0,4.0,,,,
CMA,30.06.1993 00:00,6.7,9.6,5.2,,,,,,,,,,,2.2,10.0,7.9,36.0,,,,,,,,,,,,,,,,16.0,13.3,5.3,,,,
CMA,01.07.1993 00:00,6.6,10.2,4.4,,,,,,,,,,,2.2,24.4,7.9,87.8,,,,,,,,,,,,,,,,135.0,13.4,5.4,,,,
CMA,02.07.1993 00:00,5.9,8.9,4.3,,,,,,,,,,,2.0,9.8,7.2,35.3,,,,,,,,,,,,,,,,229.0,14.1,6.1,,,,
CMA,03.07.1993 00:00,7.3,10.0,4.6,,,,,,,,,,,1.6,7.6,5.8,27.4,,,,,,,,,,,,,,,,11.0,12.7,4.7,,,,
CMA,04.07.1993 00:00,10.9,15.1,7.0,,,,,,,,,,,2.7,11.0,9.7,39.6,,,,,,,,,,,,,,,,225.0,9.1,1.1,,,,
CMA,05.07.1993 00:00,11.6,15.5,6.3,,,,,,,,,,,5.0,20.9,18.0,75.2,,,,,,,,,,,,,,,,253.0,8.4,0.4,,,,
CMA,06.07.1993 00:00,1.9,7.0,-1.9,,,,,,,,,,,7.3,21.6,26.3,77.8,,,,,,,,,,,,,,,,18.0,18.1,10.1,,,,
CMA,07.07.1993 00:00,2.0,5.2,-1.8,,,,,,,,,,,4.1,12.5,14.8,45.0,,,,,,,,,,,,,,,,15.0,18.0,10.0,,,,
CMA,08.07.1993 00:00,5.5,10.0,0.3,,,,,,,,,,,1.8,7.5,6.5,27.0,,,,,,,,,,,,,,,,207.0,14.5,6.5,,,,
CMA,09.07.1993 00:00,7.5,11.4,4.3,,,,,,,,,,,4.8,14.2,17.3,51.1,,,,,,,,,,,,,,,,229.0,12.5,4.5,,,,
CMA,10.07.1993 00:00,4.3,6.8,-0.1,,,,,,,,,,,4.8,14.8,17.3,53.3,,,,,,,,,,,,,,,,210.0,15.7,7.7,,,,
CMA,11.07.1993 00:00,-2.4,-0.2,-4.1,,,,,,,,,,,3.6,16.4,13.0,59.0,,,,,,,,,,,,,,,,338.0,22.4,14.4,,,,
CMA,12.07.1993 00:00,-2.3,-0.6,-3.5,,,,,,,,,,,4.4,17.0,15.8,61.2,,,,,,,,,,,,,,,,291.0,22.3,14.3,,,,
CMA,13.07.1993 00:00,-2.5,-0.9,-4.1,,,,,,,,,,,3.4,17.1,12.2,61.6,,,,,,,,,,,,,,,,302.0,22.5,14.5,,,,
CMA,14.07.1993 00:00,0.9,3.9,-2.3,,,,,,,,,,,4.1,16.8,14.8,60.5,,,,,,,,,,,,,,,,240.0,19.1,11.1,,,,
CMA,15.07.1993 00:00,5.5,7.8,2.9,,,,,,,,,,,3.9,15.7,14.0,56.5,,,,,,,,,,,,,,,,244.0,14.5,6.5,,,,
CMA,16.07.1993 00:00,8.9,12.9,6.2,,,,,,,,,,,4.3,17.5,15.5,63.0,,,,,,,,,,,,,,,,260.0,11.1,3.1,,,,
CMA,17.07.1993 00:00,9.6,13.9,6.0,,,,,,,,,,,3.7,19.9,13.3,71.6,,,,,,,,,,,,,,,,248.0,10.4,2.4,,,,
CMA,18.07.1993 00:00,8.8,12.8,4.8,,,,,,,,,,,2.8,16.8,10.1,60.5,,,,,,,,,,,,,,,,251.0,11.2,3.2,,,,
CMA,19.07.1993 00:00,6.1,9.1,3.4,,,,,,,,,,,2.4,14.7,8.6,52.9,,,,,,,,,,,,,,,,207.0,13.9,5.9,,,,
CMA,20.07.1993 00:00,2.4,4.2,0.8,,,,,,,,,,,3.2,15.0,11.5,54.0,,,,,,,,,,,,,,,,320.0,17.6,9.6,,,,
CMA,21.07.1993 00:00,1.0,5.1,-0.2,,,,,,,,,,,3.6,14.5,13.0,52.2,,,,,,,,,,,,,,,,352.0,19.0,11.0,,,,
CMA,22.07.1993 00:00,0.5,2.9,-0.7,,,,,,,,,,,3.5,15.5,12.6,55.8,,,,,,,,,,,,,,,,346.0,19.5,11.5,,,,
CMA,23.07.1993 00:00,3.1,8.2,-0.4,,,,,,,,,,,2.9,12.6,10.4,45.4,,,,,,,,,,,,,,,,275.0,16.9,8.9,,,,
CMA,24.07.1993 00:00,8.5,13.3,2.6,,,,,,,,,,,3.2,11.2,11.5,40.3,,,,,,,,,,,,,,,,232.0,11.5,3.5,,,,
CMA,25.07.1993 00:00,6.0,9.7,2.2,,,,,,,,,,,5.2,17.4,18.7,62.6,,,,,,,,,,,,,,,,259.0,14.0,6.0,,,,
CMA,26.07.1993 00:00,2.8,6.2,0.5,,,,,,,,,,,3.2,13.2,11.5,47.5,,,,,,,,,,,,,,,,286.0,17.2,9.2,,,,
CMA,27.07.1993 00:00,5.6,9.7,0.2,,,,,,,,,,,4.2,24.5,15.1,88.2,,,,,,,,,,,,,,,,261.0,14.4,6.4,,,,
CMA,28.07.1993 00:00,9.5,12.6,6.6,,,,,,,,,,,7.2,26.7,25.9,96.1,,,,,,,,,,,,,,,,273.0,10.5,2.5,,,,
CMA,29.07.1993 00:00,11.7,15.6,7.4,,,,,,,,,,,2.8,11.9,10.1,42.8,,,,,,,,,,,,,,,,246.0,8.3,0.3,,,,
