station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
EVI,31.08.1993 00:00,16.1,20.9,12.5,,,,63.4,11.4,,,,,,5.0,13.3,18.0,47.9,,,,,,,,,,,,,,,,320.0,,0.0,,,,
EVI,01.09.1993 00:00,14.4,20.2,9.7,,,,71.4,11.5,,,,,,3.4,14.3,12.2,51.5,,,,,,,,,,,,,,,,329.0,,0.0,,,,
EVI,02.09.1993 00:00,14.2,19.6,9.0,,,,70.7,11.1,,,,,,3.6,13.5,13.0,48.6,,,,,,,,,,,,,,,,325.0,,0.0,,,,
EVI,03.09.1993 00:00,15.0,19.1,10.0,,,,69.0,11.5,,,,,,3.5,12.3,12.6,44.3,,,,,,,,,,,,,,,,316.0,,0.0,,,,
EVI,04.09.1993 00:00,13.0,16.0,10.2,,,,72.9,10.9,,,,,,3.9,13.3,14.0,47.9,,,,,,,,,,,,,,,,315.0,,0.0,,,,
EVI,05.09.1993 00:00,12.5,17.6,7.9,,,,65.4,9.2,,,,,,4.2,13.2,15.1,47.5,,,,,,,,,,,,,,,,322.0,,0.0,,,,
EVI,06.09.1993 00:00,13.0,17.6,8.6,,,,68.6,10.2,,,,,,3.9,15.5,14.0,55.8,,,,,,,,,,,,,,,,166.0,,0.0,,,,
EVI,07.09.1993 00:00,16.6,20.3,13.5,,,,60.8,11.5,,,,,,6.3,18.6,22.7,67.0,,,,,,,,,,,,,,,,133.0,,0.0,,,,
EVI,08.09.1993 00:00,14.8,18.9,13.5,,,,86.2,14.5,,,,,,5.5,17.0,19.8,61.2,,,,,,,,,,,,,,,,138.0,,0.0,,,,
EVI,09.09.1993 00:00,15.6,19.3,13.2,,,,79.9,14.2,,,,,,6.3,19.1,22.7,68.8,,,,,,,,,,,,,,,,99.0,,0.0,,,,
EVI,10.09.1993 00:00,13.5,17.5,9.9,,,,86.4,13.3,,,,,,2.6,14.3,9.4,51.5,,,,,,,,,,,,,,,,321.0,,0.0,,,,
EVI,11.09.1993 00:00,13.9,17.9,10.4,,,,80.2,12.6,,,,,,2.4,11.7,8.6,42.1,,,,,,,,,,,,,,,,319.0,,0.0,,,,
EVI,12.09.1993 00:00,14.7,19.6,10.8,,,,76.7,12.7,,,,,,2.1,10.8,7.6,38.9,,,,,,,,,,,,,,,,322.0,,0.0,,,,
EVI,13.09.1993 00:00,12.5,18.0,8.9,,,,85.6,12.3,,,,,,4.8,14.3,17.3,51.5,,,,,,,,,,,,,,,,326.0,,0.0,,,,
EVI,14.09.1993 00:00,12.1,16.3,9.0,,,,79.0,11.0,,,,,,2.8,13.2,10.1,47.5,,,,,,,,,,,,,,,,160.0,,0.0,,,,
EVI,15.09.1993 00:00,12.9,16.4,9.5,,,,78.1,11.5,,,,,,3.6,12.7,13.0,45.7,,,,,,,,,,,,,,,,145.0,,0.0,,,,
EVI,16.09.1993 00:00,13.5,16.7,10.4,,,,80.0,12.2,,,,,,3.2,11.8,11.5,42.5,,,,,,,,,,,,,,,,318.0,,0.0,,,,
EVI,17.09.1993 00:00,13.9,17.8,9.7,,,,75.4,11.8,,,,,,2.6,12.0,9.4,43.2,,,,,,,,,,,,,,,,320.0,,0.0,,,,
EVI,18.09.1993 00:00,15.6,20.7,13.0,,,,78.8,13.8,,,,,,4.6,18.2,16.6,65.5,,,,,,,,,,,,,,,,137.0,,0.0,,,,
EVI,19.09.1993 00:00,16.8,22.3,13.9,,,,80.2,15.1,,,,,,5.3,17.6,19.1,63.4,,,,,,,,,,,,,,,,136.0,,0.0,,,,
EVI,20.09.1993 00:00,18.5,23.0,14.2,,,,71.3,15.1,,,,,,5.2,15.6,18.7,56.2,,,,,,,,,,,,,,,,148.0,,0.0,,,,
EVI,21.09.1993 00:00,19.9,23.0,17.4,,,,65.1,15.1,,,,,,6.2,17.8,22.3,64.1,,,,,,,,,,,,,,,,151.0,,0.0,,,,
EVI,22.09.1993 00:00,20.2,26.9,15.2,,,,58.0,13.2,,,,,,6.1,18.3,22.0,65.9,,,,,,,,,,,,,,,,153.0,,0.0,,,,
EVI,23.09.1993 00:00,15.5,17.9,13.2,,,,85.0,14.8,,,,,,3.4,16.6,12.2,59.8,,,,,,,,,,,,,,,,126.0,,0.0,,,,
EVI,24.09.1993 00:00,14.5,17.6,13.0,,,,89.6,14.7,,,,,,2.6,17.3,9.4,62.3,,,,,,,,,,,,,,,,113.0,,0.0,,,,
EVI,25.09.1993 00:00,12.5,14.7,9.0,,,,84.8,12.3,,,,,,5.1,16.7,18.4,60.1,,,,,,,,,,,,,,,,322.0,,0.0,,,,
EVI,26.09.1993 00:00,9.4,12.2,6.8,,,,84.4,9.9,,,,,,4.2,11.2,15.1,40.3,,,,,,,,,,,,,,,,317.0,,2.6,,,,
EVI,27.09.1993 00:00,10.3,13.9,7.1,,,,76.1,9.5,,,,,,4.2,13.0,15.1,46.8,,,,,,,,,,,,,,,,45.0,,1.7,,,,
EVI,28.09.1993 00:00,7.7,10.8,6.7,,,,90.1,9.5,,,,,,2.5,11.7,9.0,42.1,,,,,,,,,,,,,,,,324.0,,4.3,,,,
EVI,29.09.1993 00:00,8.7,15.0,3.6,,,,77.4,8.5,,,,,,3.0,11.7,10.8,42.1,,,,,,,,,,,,,,,,151.0,,3.3,,,,
EVI,30.09.1993 00:00,11.3,16.8,8.5,,,,72.2,9.6,,,,,,5.9,19.8,21.2,71.3,,,,,,,,,,,,,,,,136.0,,0.7,,,,
