station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
FRE,01.01.1978 00:00,-2.0,2.1,-3.9,,,,95.8,5.1,,,,,,0.8,,3.2,,,,,0.0,,,,,,,,144.0,32.0,,,,,,,,,
FRE,02.01.1978 00:00,1.4,4.0,-3.7,,,,76.4,5.4,,,,,,3.6,,13.0,,,,,1.8,,,,,,,,174.0,38.0,,,,,,,,,
FRE,03.01.1978 00:00,-0.7,1.0,-1.7,,,,92.8,5.5,,,,,,3.4,,12.2,,,,,4.3,,,,,,,,6.0,1.0,,,,,,,,,
FRE,04.01.1978 00:00,-3.5,-3.0,-4.2,,,,91.2,4.4,,,,,,1.6,,5.4,,,,,5.3,,,,,,,,0.0,0.0,,,,,,,,,
FRE,05.01.1978 00:00,-7.2,-4.5,-9.1,,,,83.4,2.9,,,,,,1.4,,5.0,,,,,0.0,,,,,,,,312.0,68.0,,,,,,,,,
FRE,06.01.1978 00:00,-2.9,3.0,-9.5,,,,41.6,2.1,,,,,,1.0,,5.4,,,,,0.0,,,,,,,,462.0,100.0,,,,,,,,,
FRE,07.01.1978 00:00,2.4,6.5,-3.1,,,,40.4,3.0,,,,,,0.8,,3.2,,,,,0.0,,,,,,,,462.0,100.0,,,,,,,,,
FRE,08.01.1978 00:00,1.6,3.9,-0.9,,,,65.8,4.5,,,,,,1.5,,5.4,,,,,0.0,,,,,,,,426.0,92.0,,,,,,,,,
FRE,09.01.1978 00:00,1.4,4.6,-1.7,,,,58.0,3.9,,,,,,1.2,,4.3,,,,,0.0,,,,,,,,282.0,61.0,,,,,,,,,
FRE,10.01.1978 00:00,-0.1,1.2,-2.1,,,,94.8,5.8,,,,,,1.9,,6.8,,,,,0.5,,,,,,,,60.0,13.0,,,,,,,,,
FRE,11.01.1978 00:00,-2.3,0.7,-4.0,,,,90.2,4.8,,,,,,6.0,,21.6,,,,,6.4,,,,,,,,0.0,0.0,,,,,,,,,
FRE,12.01.1978 00:00,-4.2,-1.9,-5.1,,,,94.6,4.3,,,,,,4.3,,15.5,,,,,0.6,,,,,,,,0.0,0.0,,,,,,,,,
FRE,13.01.1978 00:00,-3.4,-2.6,-4.1,,,,94.6,4.5,,,,,,2.6,,9.4,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
FRE,14.01.1978 00:00,-3.5,-0.3,-4.8,,,,94.4,4.5,,,,,,2.2,,7.9,,,,,0.0,,,,,,,,384.0,82.0,,,,,,,,,
FRE,15.01.1978 00:00,-3.4,1.4,-4.7,,,,94.0,4.5,,,,,,0.2,,1.8,,,,,0.0,,,,,,,,54.0,12.0,,,,,,,,,
FRE,16.01.1978 00:00,-1.1,3.0,-5.2,,,,84.2,4.9,,,,,,1.2,,4.3,,,,,0.0,,,,,,,,36.0,8.0,,,,,,,,,
FRE,17.01.1978 00:00,-0.1,2.5,-2.3,,,,47.6,2.9,,,,,,1.0,,3.6,,,,,0.0,,,,,,,,24.0,5.0,,,,,,,,,
FRE,18.01.1978 00:00,-2.9,-1.3,-3.4,,,,94.2,4.6,,,,,,0.5,,1.8,,,,,3.2,,,,,,,,0.0,0.0,,,,,,,,,
FRE,19.01.1978 00:00,-4.1,-1.9,-4.9,,,,94.2,4.3,,,,,,2.4,,8.6,,,,,0.1,,,,,,,,42.0,9.0,,,,,,,,,
FRE,20.01.1978 00:00,-2.7,-1.1,-4.5,,,,89.8,4.5,,,,,,0.5,,2.9,,,,,1.6,,,,,,,,24.0,5.0,,,,,,,,,
FRE,21.01.1978 00:00,-3.8,-3.2,-4.3,,,,92.6,4.3,,,,,,2.1,,7.6,,,,,0.1,,,,,,,,0.0,0.0,,,,,,,,,
FRE,22.01.1978 00:00,-3.8,-2.2,-5.3,,,,91.2,4.3,,,,,,1.5,,5.4,,,,,0.8,,,,,,,,120.0,25.0,,,,,,,,,
FRE,23.01.1978 00:00,-3.2,-0.4,-4.4,,,,89.8,4.3,,,,,,2.1,,7.6,,,,,13.8,,,,,,,,84.0,17.0,,,,,,,,,
FRE,24.01.1978 00:00,0.0,2.6,-3.6,,,,97.0,6.1,,,,,,4.0,,14.4,,,,,32.3,,,,,,,,0.0,0.0,,,,,,,,,
FRE,25.01.1978 00:00,-2.5,-1.0,-3.1,,,,89.6,4.6,,,,,,2.6,,9.4,,,,,5.7,,,,,,,,66.0,13.0,,,,,,,,,
FRE,26.01.1978 00:00,-2.8,-0.4,-3.5,,,,88.4,4.5,,,,,,3.5,,12.2,,,,,6.8,,,,,,,,30.0,6.0,,,,,,,,,
FRE,27.01.1978 00:00,-3.0,-0.7,-4.6,,,,70.4,3.5,,,,,,3.4,,12.2,,,,,0.0,,,,,,,,96.0,20.0,,,,,,,,,
FRE,28.01.1978 00:00,-2.5,0.6,-3.9,,,,90.8,4.7,,,,,,2.8,,9.7,,,,,17.1,,,,,,,,0.0,0.0,,,,,,,,,
FRE,29.01.1978 00:00,-3.4,-2.2,-4.4,,,,97.0,4.7,,,,,,2.6,,9.4,,,,,8.4,,,,,,,,6.0,1.0,,,,,,,,,
FRE,30.01.1978 00:00,-3.8,-2.5,-5.0,,,,96.0,4.5,,,,,,1.4,,5.0,,,,,16.9,,,,,,,,0.0,0.0,,,,,,,,,
FRE,31.01.1978 00:00,-4.3,-2.3,-5.3,,,,84.6,3.8,,,,,,0.7,,2.5,,,,,2.5,,,,,,,,228.0,45.0,,,,,,,,,
FRE,01.02.1978 00:00,-2.3,1.4,-5.7,,,,93.4,5.0,,,,,,1.5,,5.4,,,,,15.8,,,,,,,,0.0,0.0,,,,,,,,,
FRE,02.02.1978 00:00,-1.3,-0.5,-1.9,,,,88.0,4.9,,,,,,4.6,,16.6,,,,,32.0,,,,,,,,0.0,0.0,,,,,,,,,
FRE,03.02.1978 00:00,-5.8,-4.5,-7.0,,,,90.8,3.7,,,,,,1.4,,5.0,,,,,1.2,,,,,,,,108.0,21.0,,,,,,,,,
FRE,04.02.1978 00:00,-6.9,-4.7,-9.8,,,,85.4,3.3,,,,,,1.7,,6.1,,,,,0.0,,,,,,,,156.0,30.0,,,,,,,,,
FRE,05.02.1978 00:00,-3.8,-0.1,-9.4,,,,89.2,4.4,,,,,,1.2,,4.3,,,,,2.1,,,,,,,,0.0,0.0,,,,,,,,,
FRE,06.02.1978 00:00,-2.8,-1.8,-3.3,,,,94.6,4.7,,,,,,1.5,,5.4,,,,,3.5,,,,,,,,0.0,0.0,,,,,,,,,
FRE,07.02.1978 00:00,-3.8,-1.6,-4.8,,,,86.8,4.1,,,,,,0.5,,2.9,,,,,0.3,,,,,,,,150.0,28.0,,,,,,,,,
FRE,08.02.1978 00:00,-7.1,-5.8,-8.4,,,,89.0,3.2,,,,,,2.9,,10.4,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
FRE,09.02.1978 00:00,-8.9,-4.1,-10.0,,,,91.6,2.9,,,,,,0.5,,5.4,,,,,0.7,,,,,,,,0.0,0.0,,,,,,,,,
FRE,10.02.1978 00:00,-4.2,-0.9,-10.3,,,,75.8,3.4,,,,,,0.7,,3.6,,,,,0.7,,,,,,,,18.0,3.0,,,,,,,,,
FRE,11.02.1978 00:00,-6.7,-3.4,-9.1,,,,85.6,3.4,,,,,,1.5,,5.4,,,,,1.6,,,,,,,,0.0,0.0,,,,,,,,,
FRE,12.02.1978 00:00,-8.5,-3.5,-12.6,,,,77.2,2.6,,,,,,1.0,,3.6,,,,,0.5,,,,,,,,438.0,78.0,,,,,,,,,
FRE,13.02.1978 00:00,-7.6,-6.1,-8.8,,,,76.2,2.7,,,,,,3.4,,12.2,,,,,0.0,,,,,,,,408.0,72.0,,,,,,,,,
FRE,14.02.1978 00:00,-9.3,-6.8,-10.9,,,,85.6,2.7,,,,,,1.2,,4.3,,,,,0.1,,,,,,,,156.0,28.0,,,,,,,,,
