station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
KOP,01.12.1960 00:00,0.7,8.5,-2.9,,,,82.3,5.3,965.3,,,,,,,,,,,,0.0,,,,,,,,402.0,82.0,,,,,,,,,
KOP,02.12.1960 00:00,1.7,8.5,-2.7,,,,86.0,5.9,962.5,,,,,,,,,,,,0.0,,,,,,,,102.0,21.0,,,,,,,,,
KOP,03.12.1960 00:00,5.9,9.7,1.4,,,,77.0,7.1,966.0,,,,,,,,,,,,0.0,,,,,,,,252.0,51.0,,,,,,,,,
KOP,04.12.1960 00:00,9.9,13.3,4.9,,,,45.3,5.3,956.2,,,,,,,,,,,,4.5,,,,,,,,180.0,37.0,,,,,,,,,
KOP,05.12.1960 00:00,6.1,11.0,5.5,,,,94.3,9.0,950.2,,,,,,,,,,,,16.2,,,,,,,,0.0,0.0,,,,,,,,,
KOP,06.12.1960 00:00,5.3,7.8,4.0,,,,84.0,7.7,944.7,,,,,,,,,,,,2.3,,,,,,,,6.0,1.0,,,,,,,,,
KOP,07.12.1960 00:00,1.9,4.4,0.1,,,,93.7,6.8,944.3,,,,,,,,,,,,0.3,,,,,,,,72.0,15.0,,,,,,,,,
KOP,08.12.1960 00:00,1.4,2.5,0.2,,,,84.7,5.8,946.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
KOP,09.12.1960 00:00,1.3,2.0,1.0,,,,90.0,6.1,948.0,,,,,,,,,,,,0.3,,,,,,,,0.0,0.0,,,,,,,,,
KOP,10.12.1960 00:00,0.7,1.6,-0.1,,,,84.7,5.4,944.9,,,,,,,,,,,,0.0,,,,,,,,6.0,1.0,,,,,,,,,
KOP,11.12.1960 00:00,0.6,1.4,0.4,,,,79.7,5.1,955.5,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
KOP,12.12.1960 00:00,-0.8,0.7,-1.3,,,,77.7,4.5,957.5,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
KOP,13.12.1960 00:00,-2.4,-1.0,-3.0,,,,81.3,4.1,950.2,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
KOP,14.12.1960 00:00,-1.6,-1.1,-2.7,,,,77.7,4.2,949.6,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
KOP,15.12.1960 00:00,-1.5,-1.1,-2.4,,,,84.7,4.6,957.2,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
KOP,16.12.1960 00:00,-1.3,0.5,-1.9,,,,90.3,5.0,966.3,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
KOP,17.12.1960 00:00,-1.3,-0.7,-1.7,,,,92.3,5.1,958.5,,,,,,,,,,,,0.1,,,,,,,,0.0,0.0,,,,,,,,,
KOP,18.12.1960 00:00,-0.7,0.0,-1.5,,,,95.3,5.5,946.3,,,,,,,,,,,,2.3,,,,,,,,0.0,0.0,,,,,,,,,
KOP,19.12.1960 00:00,-1.0,3.0,-2.8,,,,80.0,4.7,947.9,,,,,,,,,,,,0.0,,,,,,,,108.0,23.0,,,,,,,,,
KOP,20.12.1960 00:00,0.1,2.3,-2.8,,,,94.3,5.8,941.8,,,,,,,,,,,,8.8,,,,,,,,18.0,4.0,,,,,,,,,
