station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
LEI,15.02.1984 00:00,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,
LEI,16.02.1984 00:00,,,,,,,,,,,,,,1.8,8.0,6.5,,,,,,,,,,,,,,,,,83.0,,,,,,
LEI,17.02.1984 00:00,,,,,,,,,,,,,,1.9,7.3,6.8,,,,,,,,,,,,,,,,,93.0,,,,,,
LEI,18.02.1984 00:00,,,,,,,,,,,,,,1.8,6.0,6.5,,,,,,,,,,,,,,,,,87.0,,,,,,
LEI,19.02.1984 00:00,,,,,,,,,,,,,,1.6,6.2,5.8,,,,,,,,,,,,,,,,,60.0,,,,,,
LEI,20.02.1984 00:00,,,,,,,,,,,,,,0.8,4.2,2.9,,,,,,,,,,,,,,,,,90.0,,,,,,
LEI,21.02.1984 00:00,,,,,,,,,,,,,,1.0,4.8,3.6,,,,,,,,,,,,,,,,,90.0,,,,,,
LEI,22.02.1984 00:00,,,,,,,,,,,,,,0.5,3.6,1.8,,,,,,,,,,,,,,,,,117.0,,,,,,
LEI,23.02.1984 00:00,,,,,,,,,,,,,,1.2,7.0,4.3,,,,,,,,,,,,,,,,,84.0,,,,,,
LEI,24.02.1984 00:00,,,,,,,,,,,,,,3.5,13.4,12.6,,,,,,,,,,,,,,,,,55.0,,,,,,
LEI,25.02.1984 00:00,,,,,,,,,,,,,,3.3,14.4,11.9,,,,,,,,,,,,,,,,,50.0,,,,,,
LEI,26.02.1984 00:00,,,,,,,,,,,,,,2.0,6.1,7.2,,,,,,,,,,,,,,,,,249.0,,,,,,
LEI,27.02.1984 00:00,,,,,,,,,,,,,,3.7,9.1,13.3,,,,,,,,,,,,,,,,,244.0,,,,,,
LEI,28.02.1984 00:00,,,,,,,,,,,,,,0.6,3.7,2.2,,,,,,,,,,,,,,,,,63.0,,,,,,
LEI,29.02.1984 00:00,,,,,,,,,,,,,,1.6,7.1,5.8,,,,,,,,,,,,,,,,,74.0,,,,,,
LEI,01.03.1984 00:00,,,,,,,,,,,,,,1.0,5.3,3.6,,,,,,,,,,,,,,,,,108.0,,,,,,
LEI,02.03.1984 00:00,,,,,,,,,,,,,,2.1,17.5,7.6,,,,,,,,,,,,,,,,,246.0,,,,,,
LEI,03.03.1984 00:00,,,,,,,,,,,,,,3.5,11.0,12.6,,,,,,,,,,,,,,,,,244.0,,,,,,
LEI,04.03.1984 00:00,,,,,,,,,,,,,,2.5,10.6,9.0,,,,,,,,,,,,,,,,,60.0,,,,,,
LEI,05.03.1984 00:00,,,,,,,,,,,,,,0.8,5.7,2.9,,,,,,,,,,,,,,,,,98.0,,,,,,
LEI,06.03.1984 00:00,,,,,,,,,,,,,,2.7,9.8,9.7,,,,,,,,,,,,,,,,,72.0,,,,,,
LEI,07.03.1984 00:00,,,,,,,,,,,,,,1.0,8.8,3.6,,,,,,,,,,,,,,,,,51.0,,,,,,
LEI,08.03.1984 00:00,,,,,,,,,,,,,,3.0,12.8,10.8,,,,,,,,,,,,,,,,,59.0,,,,,,
LEI,09.03.1984 00:00,,,,,,,,,,,,,,3.5,12.0,12.6,,,,,,,,,,,,,,,,,54.0,,,,,,
LEI,10.03.1984 00:00,,,,,,,,,,,,,,3.0,10.2,10.8,,,,,,,,,,,,,,,,,58.0,,,,,,
LEI,11.03.1984 00:00,,,,,,,,,,,,,,1.0,6.5,3.6,,,,,,,,,,,,,,,,,90.0,,,,,,
LEI,12.03.1984 00:00,,,,,,,,,,,,,,1.3,6.9,4.7,,,,,,,,,,,,,,,,,90.0,,,,,,
LEI,13.03.1984 00:00,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,84.0,,,,,,
LEI,14.03.1984 00:00,,,,,,,,,,,,,,1.9,7.1,6.8,,,,,,,,,,,,,,,,,84.0,,,,,,
LEI,15.03.1984 00:00,,,,,,,,,,,,,,1.1,5.0,4.0,,,,,,,,,,,,,,,,,90.0,,,,,,
LEI,16.03.1984 00:00,,,,,,,,,,,,,,0.8,4.2,2.9,,,,,,,,,,,,,,,,,121.0,,,,,,
LEI,17.03.1984 00:00,,,,,,,,,,,,,,0.6,3.1,2.2,,,,,,,,,,,,,,,,,108.0,,,,,,
LEI,18.03.1984 00:00,,,,,,,,,,,,,,0.9,5.7,3.2,,,,,,,,,,,,,,,,,90.0,,,,,,
LEI,19.03.1984 00:00,,,,,,,,,,,,,,1.8,6.9,6.5,,,,,,,,,,,,,,,,,86.0,,,,,,
LEI,20.03.1984 00:00,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,81.0,,,,,,
LEI,21.03.1984 00:00,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,
LEI,22.03.1984 00:00,,,,,,,,,,,,,,1.0,8.9,3.6,,,,,,,,,,,,,,,,,83.0,,,,,,
LEI,23.03.1984 00:00,,,,,,,,,,,,,,0.7,4.0,2.5,,,,,,,,,,,,,,,,,76.0,,,,,,
LEI,24.03.1984 00:00,,,,,,,,,,,,,,2.2,13.9,7.9,,,,,,,,,,,,,,,,,253.0,,,,,,
LEI,25.03.1984 00:00,,,,,,,,,,,,,,0.9,4.7,3.2,,,,,,,,,,,,,,,,,68.0,,,,,,
LEI,26.03.1984 00:00,,,,,,,,,,,,,,2.5,16.7,9.0,60.1,,,,,,,,,,,,,,,,253.0,,,,,,
LEI,27.03.1984 00:00,,,,,,,,,,,,,,3.1,18.4,11.2,,,,,,,,,,,,,,,,,235.0,,,,,,
LEI,28.03.1984 00:00,,,,,,,,,,,,,,1.7,13.9,6.1,,,,,,,,,,,,,,,,,270.0,,,,,,
LEI,29.03.1984 00:00,,,,,,,,,,,,,,2.5,15.0,9.0,,,,,,,,,,,,,,,,,255.0,,,,,,
LEI,30.03.1984 00:00,,,,,,,,,,,,,,2.4,12.4,8.6,,,,,,,,,,,,,,,,,243.0,,,,,,
LEI,31.03.1984 00:00,,,,,,,,,,,,,,1.0,6.2,3.6,,,,,,,,,,,,,,,,,101.0,,,,,,
LEI,01.04.1984 00:00,,,,,,,,,,,,,,0.7,2.9,2.5,,,,,,,,,,,,,,,,,37.0,,,,,,
LEI,02.04.1984 00:00,,,,,,,,,,,,,,4.6,11.5,16.6,,,,,,,,,,,,,,,,,248.0,,,,,,
LEI,03.04.1984 00:00,,,,,,,,,,,,,,3.6,8.9,13.0,,,,,,,,,,,,,,,,,243.0,,,,,,
LEI,04.04.1984 00:00,,,,,,,,,,,,,,0.8,3.9,2.9,,,,,,,,,,,,,,,,,225.0,,,,,,
LEI,05.04.1984 00:00,,,,,,,,,,,,,,1.5,7.8,5.4,,,,,,,,,,,,,,,,,243.0,,,,,,
LEI,06.04.1984 00:00,,,,,,,,,,,,,,1.0,5.1,3.6,,,,,,,,,,,,,,,,,243.0,,,,,,
LEI,07.04.1984 00:00,,,,,,,,,,,,,,1.1,5.4,4.0,,,,,,,,,,,,,,,,,263.0,,,,,,
LEI,08.04.1984 00:00,,,,,,,,,,,,,,0.6,3.1,2.2,,,,,,,,,,,,,,,,,225.0,,,,,,
LEI,09.04.1984 00:00,,,,,,,,,,,,,,1.4,5.8,5.0,,,,,,,,,,,,,,,,,66.0,,,,,,
LEI,10.04.1984 00:00,,,,,,,,,,,,,,1.3,6.2,4.7,,,,,,,,,,,,,,,,,124.0,,,,,,
LEI,11.04.1984 00:00,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,253.0,,,,,,
LEI,12.04.1984 00:00,,,,,,,,,,,,,,1.5,7.6,5.4,,,,,,,,,,,,,,,,,256.0,,,,,,
LEI,13.04.1984 00:00,,,,,,,,,,,,,,2.6,10.8,9.4,,,,,,,,,,,,,,,,,75.0,,,,,,
LEI,14.04.1984 00:00,,,,,,,,,,,,,,1.1,5.2,4.0,,,,,,,,,,,,,,,,,135.0,,,,,,
LEI,15.04.1984 00:00,,,,,,,,,,,,,,1.2,7.4,4.3,,,,,,,,,,,,,,,,,270.0,,,,,,
LEI,16.04.1984 00:00,,,,,,,,,,,,,,2.3,13.6,8.3,,,,,,,,,,,,,,,,,240.0,,,,,,
LEI,17.04.1984 00:00,,,,,,,,,,,,,,2.3,9.5,8.3,,,,,,,,,,,,,,,,,57.0,,,,,,
LEI,18.04.1984 00:00,,,,,,,,,,,,,,3.4,11.8,12.2,,,,,,,,,,,,,,,,,77.0,,,,,,
LEI,19.04.1984 00:00,,,,,,,,,,,,,,2.4,11.1,8.6,,,,,,,,,,,,,,,,,92.0,,,,,,
LEI,20.04.1984 00:00,,,,,,,,,,,,,,1.0,5.0,3.6,,,,,,,,,,,,,,,,,153.0,,,,,,
LEI,21.04.1984 00:00,,,,,,,,,,,,,,1.2,7.5,4.3,,,,,,,,,,,,,,,,,259.0,,,,,,
LEI,22.04.1984 00:00,,,,,,,,,,,,,,0.7,4.3,2.5,,,,,,,,,,,,,,,,,117.0,,,,,,
