station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MLS,21.09.1982 00:00,,11.2,7.9,,58.4,,,,,,,,,,11.0,,39.6,,,,0.9,,,,,,,,,,,,,,,,,,
MLS,22.09.1982 00:00,7.4,10.6,5.3,,,,93.1,9.6,,,,,,0.0,0.0,0.0,0.0,,,,10.6,11.0,,,,,,,101.0,14.0,,0.0,,12.6,4.6,,,,
MLS,23.09.1982 00:00,2.4,5.9,1.0,,4.5,0.0,90.2,6.6,,,,,,,0.0,,0.0,,,,1.9,2.4,,,,,,,0.0,0.0,,0.0,,17.6,9.6,,,,
MLS,24.09.1982 00:00,5.8,9.1,1.7,5.2,8.4,0.3,59.5,5.6,,,,,,,,,,,,,0.0,0.0,,,,,,,1.0,0.0,,0.0,,14.2,6.2,,,,
MLS,25.09.1982 00:00,11.3,14.1,8.5,11.8,19.0,7.2,59.2,7.9,,,,,,,,,,,,,0.0,0.0,,,,,,,606.0,86.0,,0.0,,8.7,0.7,,,,
MLS,26.09.1982 00:00,7.6,13.4,1.4,7.4,13.4,1.0,76.4,7.7,,,,,,,,,,,,,8.3,8.3,,,,,,,186.0,27.0,,0.0,,12.4,4.4,,,,
MLS,27.09.1982 00:00,4.9,9.1,1.0,5.2,15.0,-0.2,74.8,6.5,,,,,,,,,,,,,0.0,0.0,,,,,,,512.0,74.0,,0.0,,15.1,7.1,,,,
MLS,28.09.1982 00:00,6.2,8.3,4.0,6.0,17.2,2.1,71.1,6.8,,,,,,,,,,,,,0.0,0.0,,,,,,,349.0,50.0,,0.0,,13.8,5.8,,,,
MLS,29.09.1982 00:00,8.0,10.7,5.3,8.5,18.1,3.3,74.5,8.0,,,,,,,11.8,,42.5,,,,0.4,0.2,,,,,,,619.0,90.0,,0.0,,12.0,4.0,,,,
MLS,30.09.1982 00:00,4.7,9.2,1.9,4.7,8.6,2.1,87.4,7.4,,,,,,2.8,15.0,10.1,54.0,,,,16.5,16.6,,,,,,,0.0,0.0,,0.0,,15.3,7.3,,,,
MLS,01.10.1982 00:00,3.6,6.6,0.8,3.8,9.7,0.3,90.3,7.2,,,,,,1.5,10.9,5.4,39.2,,,,0.0,0.1,,161.0,,,,,414.0,61.0,,0.0,,16.4,8.4,,,,
MLS,02.10.1982 00:00,6.0,9.4,3.4,6.1,15.5,1.4,73.7,6.9,,,,,,1.7,10.5,6.1,37.8,,,,0.0,0.0,,187.0,,,,,639.0,94.0,,0.0,,14.0,6.0,,,,
MLS,03.10.1982 00:00,5.7,7.5,3.9,5.9,12.3,3.3,76.2,7.0,,,,,,1.6,13.2,5.8,47.5,,,,0.0,0.0,,137.0,,,,,310.0,46.0,,0.0,,14.3,6.3,,,,
MLS,04.10.1982 00:00,4.6,6.2,1.3,5.1,11.7,1.2,91.7,7.8,,,,,,1.4,23.6,5.0,85.0,,,,5.6,3.2,,77.0,,,,,31.0,5.0,,0.0,,15.4,7.4,,,,
MLS,05.10.1982 00:00,0.2,1.7,-1.1,0.4,3.1,-1.0,93.1,5.8,,,,,,3.9,23.1,14.0,83.2,,,,2.5,4.9,,85.0,,,,,35.0,5.0,,0.0,,19.8,11.8,,,,
MLS,06.10.1982 00:00,-3.0,0.3,-4.1,-2.9,0.2,-3.7,92.1,4.5,,,,,,4.1,13.8,14.8,49.7,,,,0.0,0.0,,47.0,,,,,180.0,27.0,,0.0,,23.0,15.0,,,,
MLS,07.10.1982 00:00,,6.8,-4.2,,1.5,-4.4,,,,,,,,,14.7,,52.9,,,,,,,110.0,,,,,,,,,,,,,,,
MLS,08.10.1982 00:00,,2.6,-2.1,,4.1,-2.2,,,,,,,,,21.9,,78.8,,,,3.4,,,92.0,,,,,,,,,,,,,,,
MLS,09.10.1982 00:00,-1.1,0.8,-3.0,-0.9,6.0,-4.0,90.4,5.1,,,,,,6.4,24.6,23.0,88.6,,,,0.0,0.1,,115.0,,,,,190.0,29.0,,0.0,,21.1,13.1,,,,
MLS,10.10.1982 00:00,0.5,2.0,-0.6,1.2,7.4,-0.9,90.8,5.8,,,,,,5.2,17.8,18.7,64.1,,,,1.2,0.6,,123.0,,,,,135.0,21.0,,0.0,,19.5,11.5,,,,
MLS,11.10.1982 00:00,0.3,2.8,-1.6,0.3,4.1,-2.0,89.1,5.6,,,,,,9.3,27.5,33.5,99.0,,,,6.3,6.1,,76.0,,,,,112.0,17.0,,0.0,,19.7,11.7,,,,
MLS,12.10.1982 00:00,0.6,3.7,-2.3,,3.3,-3.7,,,,,,,,,29.8,,107.3,,,,0.2,,,111.0,,,,,,,,0.0,,19.4,11.4,,,,
