station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
NAP,01.01.1978 00:00,-2.2,5.2,-5.8,,,,96.5,5.2,861.9,,,,,0.5,,5.4,,,,,0.0,,,,,,,,486.0,99.0,,,,,,,,,
NAP,02.01.1978 00:00,1.4,6.7,-2.4,,,,68.6,4.7,860.5,,,,,7.4,,26.6,,,,,1.7,,,,,,,,306.0,62.0,,,,,,,,,
NAP,03.01.1978 00:00,1.0,7.2,-1.5,,,,97.6,6.6,859.5,,,,,1.0,,11.2,,,,,0.1,,,,,,,,0.0,0.0,,,,,,,,,
NAP,04.01.1978 00:00,-4.7,-2.4,-5.7,,,,94.0,4.1,859.2,,,,,1.9,,6.8,,,,,5.2,,,,,,,,0.0,0.0,,,,,,,,,
NAP,05.01.1978 00:00,-8.9,-2.0,-9.4,,,,92.0,2.9,868.2,,,,,0.0,,0.0,,,,,0.1,,,,,,,,120.0,24.0,,,,,,,,,
NAP,06.01.1978 00:00,-1.1,6.3,-9.8,,,,47.8,2.7,870.1,,,,,1.5,,8.3,,,,,0.0,,,,,,,,492.0,99.0,,,,,,,,,
NAP,07.01.1978 00:00,5.8,9.2,0.2,,,,18.5,1.8,866.6,,,,,3.8,,13.7,,,,,0.0,,,,,,,,486.0,98.0,,,,,,,,,
NAP,08.01.1978 00:00,0.8,2.5,-0.7,,,,60.2,3.9,864.9,,,,,4.3,,15.5,,,,,0.0,,,,,,,,402.0,80.0,,,,,,,,,
NAP,09.01.1978 00:00,1.2,3.8,-0.6,,,,54.6,3.7,861.8,,,,,5.3,,19.1,,,,,0.0,,,,,,,,324.0,64.0,,,,,,,,,
NAP,10.01.1978 00:00,-1.9,-0.4,-3.7,,,,96.2,5.2,860.6,,,,,4.1,,14.8,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,
NAP,11.01.1978 00:00,-1.8,1.4,-4.5,,,,75.6,3.7,840.1,,,,,5.2,,18.4,,,,,1.3,,,,,,,,0.0,0.0,,,,,,,,,
NAP,12.01.1978 00:00,-5.3,-4.4,-6.4,,,,96.4,4.0,841.8,,,,,2.9,,10.4,,,,,11.6,,,,,,,,0.0,0.0,,,,,,,,,
NAP,13.01.1978 00:00,-4.0,3.8,-6.2,,,,96.5,4.5,852.3,,,,,0.0,,0.0,,,,,1.6,,,,,,,,78.0,15.0,,,,,,,,,
NAP,14.01.1978 00:00,-5.3,1.5,-5.8,,,,95.4,3.9,855.5,,,,,2.9,,31.3,,,,,0.0,,,,,,,,42.0,8.0,,,,,,,,,
NAP,15.01.1978 00:00,-1.2,5.2,-6.3,,,,72.2,4.1,851.3,,,,,2.2,,11.9,,,,,0.0,,,,,,,,474.0,93.0,,,,,,,,,
NAP,16.01.1978 00:00,1.1,4.1,-1.0,,,,44.1,2.9,846.7,,,,,2.6,,9.4,,,,,0.0,,,,,,,,330.0,64.0,,,,,,,,,
NAP,17.01.1978 00:00,0.0,2.2,-2.0,,,,48.1,2.9,844.7,,,,,1.9,,6.8,,,,,0.3,,,,,,,,96.0,19.0,,,,,,,,,
NAP,18.01.1978 00:00,-3.6,-1.8,-4.6,,,,92.9,4.3,844.7,,,,,1.2,,6.5,,,,,0.1,,,,,,,,108.0,21.0,,,,,,,,,
NAP,19.01.1978 00:00,-4.1,-0.5,-6.1,,,,97.4,4.5,841.9,,,,,1.4,,14.8,,,,,0.0,,,,,,,,90.0,17.0,,,,,,,,,
NAP,20.01.1978 00:00,-4.2,-2.7,-5.6,,,,96.4,4.3,843.9,,,,,2.8,,9.7,,,,,5.9,,,,,,,,132.0,25.0,,,,,,,,,
NAP,21.01.1978 00:00,-5.6,-4.7,-5.9,,,,95.6,3.9,850.9,,,,,1.0,,3.6,,,,,2.2,,,,,,,,0.0,0.0,,,,,,,,,
NAP,22.01.1978 00:00,-5.2,0.7,-8.4,,,,87.7,3.7,847.2,,,,,3.8,,20.5,,,,,0.4,,,,,,,,516.0,97.0,,,,,,,,,
NAP,23.01.1978 00:00,-4.5,0.2,-4.9,,,,97.0,4.2,853.0,,,,,1.7,,9.4,,,,,0.6,,,,,,,,18.0,3.0,,,,,,,,,
NAP,24.01.1978 00:00,0.0,2.0,-4.8,,,,98.0,6.2,841.0,,,,,9.9,,35.6,,,,,5.9,,,,,,,,0.0,0.0,,,,,,,,,
NAP,25.01.1978 00:00,-3.5,0.2,-4.4,,,,96.0,4.5,850.7,,,,,5.8,,20.9,,,,,0.2,,,,,,,,0.0,0.0,,,,,,,,,
NAP,26.01.1978 00:00,-4.2,2.0,-5.2,,,,96.0,4.3,851.9,,,,,3.6,,13.0,,,,,0.4,,,,,,,,0.0,0.0,,,,,,,,,
NAP,27.01.1978 00:00,-3.9,0.0,-5.9,,,,88.8,4.1,855.6,,,,,4.0,,14.4,,,,,0.0,,,,,,,,282.0,52.0,,,,,,,,,
NAP,28.01.1978 00:00,-1.4,2.4,-4.0,,,,70.6,3.8,836.6,,,,,3.1,,11.2,,,,,2.2,,,,,,,,0.0,0.0,,,,,,,,,
NAP,29.01.1978 00:00,-4.7,-1.5,-5.9,,,,96.0,4.2,833.5,,,,,7.0,,25.6,,,,,0.2,,,,,,,,150.0,27.0,,,,,,,,,
NAP,30.01.1978 00:00,-5.6,-4.8,-6.1,,,,95.4,3.8,840.4,,,,,5.8,,20.9,,,,,2.1,,,,,,,,0.0,0.0,,,,,,,,,
NAP,31.01.1978 00:00,-6.0,-5.1,-6.8,,,,92.7,3.6,851.5,,,,,1.5,,5.4,,,,,0.5,,,,,,,,18.0,3.0,,,,,,,,,
NAP,01.02.1978 00:00,-3.9,5.7,-7.1,,,,95.1,4.6,845.4,,,,,4.5,,16.2,,,,,0.9,,,,,,,,0.0,0.0,,,,,,,,,
NAP,02.02.1978 00:00,-3.1,3.1,-3.5,,,,95.4,4.7,843.9,,,,,6.9,,24.5,,,,,1.5,,,,,,,,0.0,0.0,,,,,,,,,
NAP,03.02.1978 00:00,-7.0,-5.7,-7.7,,,,96.7,3.5,856.3,,,,,0.5,,5.4,,,,,0.4,,,,,,,,0.0,0.0,,,,,,,,,
NAP,04.02.1978 00:00,-8.8,-7.4,-9.4,,,,93.0,2.9,858.4,,,,,0.0,,0.0,,,,,0.0,,,,,,,,168.0,29.0,,,,,,,,,
NAP,05.02.1978 00:00,-5.7,-1.5,-9.4,,,,85.0,3.5,854.6,,,,,5.2,,18.4,,,,,0.2,,,,,,,,42.0,7.0,,,,,,,,,
NAP,06.02.1978 00:00,-4.0,-3.4,-4.6,,,,95.9,4.4,851.7,,,,,2.9,,10.4,,,,,6.4,,,,,,,,0.0,0.0,,,,,,,,,
NAP,07.02.1978 00:00,-5.4,-3.6,-6.1,,,,97.1,4.0,852.5,,,,,0.0,,0.0,,,,,5.0,,,,,,,,0.0,0.0,,,,,,,,,
NAP,08.02.1978 00:00,-9.3,-8.1,-10.1,,,,93.4,2.9,847.2,,,,,0.3,,3.6,,,,,0.8,,,,,,,,0.0,0.0,,,,,,,,,
NAP,09.02.1978 00:00,-9.2,-2.2,-11.6,,,,79.7,2.4,843.6,,,,,1.9,,20.5,,,,,0.0,,,,,,,,216.0,37.0,,,,,,,,,
