station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
OBR,06.05.2015 00:00,13.4,17.1,10.7,,,,85.7,13.1,969.3,1017.4,,,1017.8,2.0,8.1,7.2,29.2,7.8,28.1,,,,,,351.0,,,,,,,0.0,166.0,0.0,0.0,,,,
OBR,07.05.2015 00:00,13.1,18.1,8.6,,,,77.2,11.3,971.6,1019.9,,,1020.2,2.4,7.5,8.6,27.0,7.1,25.6,,,,,,323.0,,,,,,,0.0,34.0,0.0,0.0,,,,
OBR,08.05.2015 00:00,14.8,22.8,7.2,,,,78.7,12.5,968.3,1016.1,,,1016.7,2.6,13.0,9.4,46.8,12.6,45.4,,,,,,336.0,,,,,,,0.0,207.0,0.0,0.0,,,,
OBR,09.05.2015 00:00,14.7,18.9,11.9,,,,85.7,14.2,974.4,1022.5,,,1023.0,2.0,6.6,7.2,23.8,6.5,23.4,,,,,,353.0,,,,,,,0.0,202.0,0.0,0.0,,,,
OBR,10.05.2015 00:00,15.0,20.2,8.7,,,,71.2,11.7,978.8,1027.1,,,1027.7,2.3,6.7,8.3,24.1,6.3,22.7,,,,,,318.0,,,,,,,0.0,360.0,0.0,0.0,,,,
OBR,11.05.2015 00:00,16.7,23.9,6.0,,,,66.9,12.0,976.0,1023.9,,,1024.7,2.1,7.4,7.6,26.6,7.2,25.9,,,,,,323.0,,,,,,,0.0,0.0,0.0,0.0,,,,
OBR,12.05.2015 00:00,21.0,28.2,12.8,,,,52.2,12.5,972.7,1019.6,,,1021.3,2.2,7.8,7.9,28.1,7.7,27.7,,,,,,346.0,,,,,,,2.7,198.0,0.0,0.0,,,,
OBR,13.05.2015 00:00,20.4,25.1,15.6,,,,66.6,15.7,968.9,1015.7,,,1017.3,2.4,10.9,8.6,39.2,10.8,38.9,,,,,,369.0,,,,,,,2.1,63.0,0.0,0.0,,,,
OBR,14.05.2015 00:00,18.0,21.1,13.7,,,,71.1,14.5,963.6,1010.6,,,1011.8,3.1,13.3,11.2,47.9,12.4,44.6,,,,,,358.0,,,,,,,0.0,21.0,0.0,0.0,,,,
OBR,15.05.2015 00:00,10.3,14.8,9.1,,,,93.7,11.7,966.1,1014.6,,,1014.4,1.9,12.4,6.8,44.6,11.9,42.8,,,,,,355.0,,,,,,,0.0,146.0,9.7,1.7,,,,
OBR,16.05.2015 00:00,13.4,18.1,9.2,,,,86.8,13.3,975.4,1023.9,,,1024.1,1.6,6.8,5.8,24.5,6.6,23.8,,,,,,339.0,,,,,,,0.0,51.0,0.0,0.0,,,,
OBR,17.05.2015 00:00,15.2,19.5,10.0,,,,77.2,13.1,975.4,1023.5,,,1024.1,2.0,7.0,7.2,25.2,6.8,24.5,,,,,,336.0,,,,,,,0.0,35.0,0.0,0.0,,,,
OBR,18.05.2015 00:00,15.7,21.3,7.3,,,,78.9,13.8,964.8,1012.3,,,1013.1,2.3,7.3,8.3,26.3,7.1,25.6,,,,,,329.0,,,,,,,0.0,39.0,0.0,0.0,,,,
OBR,19.05.2015 00:00,13.4,17.5,10.1,,,,92.2,14.1,963.4,1011.2,,,1011.6,1.9,6.4,6.8,23.0,6.1,22.0,,,,,,365.0,,,,,,,0.0,90.0,0.0,0.0,,,,
OBR,20.05.2015 00:00,8.5,11.0,5.5,,,,95.2,10.5,968.2,1017.2,,,1016.6,1.6,8.8,5.8,31.7,8.5,30.6,,,,,,345.0,,,,,,,0.0,158.0,11.5,3.5,,,,
OBR,21.05.2015 00:00,7.5,10.7,5.1,,,,96.7,10.0,975.2,1024.7,,,1023.9,1.1,6.1,4.0,22.0,5.7,20.5,,,,,,340.0,,,,,,,0.0,270.0,12.5,4.5,,,,
OBR,22.05.2015 00:00,10.9,15.0,7.9,,,,80.7,10.4,975.0,1023.8,,,1023.6,2.2,10.1,7.9,36.4,9.7,34.9,,,,,,343.0,,,,,,,0.0,16.0,9.1,1.1,,,,
OBR,23.05.2015 00:00,11.9,15.5,8.3,,,,77.9,10.7,970.3,1018.7,,,1018.8,1.6,9.0,5.8,32.4,8.8,31.7,,,,,,347.0,,,,,,,0.0,351.0,8.1,0.1,,,,
OBR,24.05.2015 00:00,13.5,18.5,9.3,,,,79.5,12.1,969.5,1017.6,,,1017.9,1.3,6.4,4.7,23.0,6.2,22.3,,,,,,351.0,,,,,,,0.0,349.0,0.0,0.0,,,,
OBR,25.05.2015 00:00,13.7,19.1,11.0,,,,88.2,13.6,967.3,1015.2,,,1015.7,1.2,12.4,4.3,44.6,12.0,43.2,,,,,,359.0,,,,,,,0.0,248.0,0.0,0.0,,,,
OBR,26.05.2015 00:00,11.2,14.7,8.7,,,,93.3,12.4,969.8,1018.3,,,1018.3,1.9,7.9,6.8,28.4,7.8,28.1,,,,,,355.0,,,,,,,0.0,270.0,8.8,0.8,,,,
OBR,27.05.2015 00:00,10.9,15.2,6.4,,,,76.0,9.6,974.6,1023.4,,,1023.3,1.9,6.2,6.8,22.3,6.0,21.6,,,,,,313.0,,,,,,,0.0,45.0,9.1,1.1,,,,
OBR,28.05.2015 00:00,13.5,20.7,4.1,,,,68.6,10.2,970.1,1018.2,,,1018.5,2.2,6.6,7.9,23.8,6.4,23.0,,,,,,300.0,,,,,,,0.0,37.0,0.0,0.0,,,,
OBR,29.05.2015 00:00,17.3,23.5,9.7,,,,62.5,11.9,965.3,1012.5,,,1013.6,2.4,10.1,8.6,36.4,10.0,36.0,,,,,,339.0,,,,,,,0.0,202.0,0.0,0.0,,,,
OBR,30.05.2015 00:00,16.4,20.3,12.5,,,,74.3,13.5,968.5,1016.0,,,1016.9,2.1,7.8,7.6,28.1,7.6,27.4,,,,,,361.0,,,,,,,0.0,31.0,0.0,0.0,,,,
OBR,31.05.2015 00:00,16.8,21.7,9.9,,,,70.5,13.0,969.0,1016.4,,,1017.4,1.7,7.5,6.1,27.0,7.0,25.2,,,,,,341.0,,,,,,,0.0,34.0,0.0,0.0,,,,
OBR,01.06.2015 00:00,18.2,24.0,12.8,,,,74.7,15.2,969.4,1016.6,,,1017.8,2.6,7.5,9.4,27.0,7.2,25.9,,,,,,361.0,,,,,,,0.0,45.0,0.0,0.0,,,,
OBR,02.06.2015 00:00,19.3,25.0,13.4,,,,79.9,17.4,971.4,1018.6,,,1019.9,2.2,7.6,7.9,27.4,7.1,25.6,,,,,,359.0,,,,,,,1.0,34.0,0.0,0.0,,,,
OBR,03.06.2015 00:00,21.1,26.9,13.0,,,,68.7,16.4,974.6,1021.7,,,1023.3,2.3,8.4,8.3,30.2,8.1,29.2,,,,,,358.0,,,,,,,2.8,54.0,0.0,0.0,,,,
OBR,04.06.2015 00:00,21.6,28.8,13.2,,,,70.5,17.5,975.4,1022.3,,,1024.1,2.0,9.1,7.2,32.8,8.9,32.0,,,,,,362.0,,,,,,,3.3,23.0,0.0,0.0,,,,
OBR,05.06.2015 00:00,23.9,30.8,15.9,,,,66.6,18.8,972.4,1018.9,,,1021.0,2.2,8.0,7.9,28.8,7.5,27.0,,,,,,377.0,,,,,,,5.6,23.0,0.0,0.0,,,,
OBR,06.06.2015 00:00,23.9,29.5,17.5,,,,60.7,17.6,974.7,1021.3,,,1023.4,3.7,18.9,13.3,68.0,18.2,65.5,,,,,,382.0,,,,,,,5.6,212.0,0.0,0.0,,,,
OBR,07.06.2015 00:00,22.7,28.7,14.8,,,,64.0,17.1,975.3,1022.1,,,1024.0,3.4,12.4,12.2,44.6,12.2,43.9,,,,,,372.0,,,,,,,4.4,356.0,0.0,0.0,,,,
OBR,08.06.2015 00:00,17.7,22.2,14.2,,,,86.6,17.5,973.6,1021.1,,,1022.2,3.1,10.9,11.2,39.2,10.5,37.8,,,,,,379.0,,,,,,,0.0,26.0,0.0,0.0,,,,
OBR,09.06.2015 00:00,14.9,16.8,13.6,,,,85.8,14.5,972.7,1020.7,,,1021.3,3.1,8.0,11.2,28.8,7.8,28.1,,,,,,378.0,,,,,,,0.0,352.0,0.0,0.0,,,,
OBR,10.06.2015 00:00,17.5,20.6,14.2,,,,78.6,15.7,972.6,1020.1,,,1021.2,1.9,7.0,6.8,25.2,6.8,24.5,,,,,,383.0,,,,,,,0.0,27.0,0.0,0.0,,,,
OBR,11.06.2015 00:00,19.5,25.6,12.7,,,,78.9,17.5,969.4,1016.4,,,1017.9,2.2,8.2,7.9,29.5,7.9,28.4,,,,,,355.0,,,,,,,1.2,27.0,0.0,0.0,,,,
OBR,12.06.2015 00:00,22.6,29.7,15.1,,,,55.1,14.4,964.3,1010.6,,,1012.6,3.5,15.7,12.6,56.5,15.1,54.4,,,,,,357.0,,,,,,,4.3,205.0,0.0,0.0,,,,
OBR,13.06.2015 00:00,21.4,24.3,17.4,,,,67.2,17.1,964.3,1010.8,,,1012.6,3.6,10.0,13.0,36.0,9.4,33.8,,,,,,377.0,,,,,,,3.1,73.0,0.0,0.0,,,,
OBR,14.06.2015 00:00,19.0,25.3,15.7,,,,84.4,18.2,962.4,1009.2,,,1010.6,2.2,15.3,7.9,55.1,14.6,52.6,,,,,,377.0,,,,,,,0.7,360.0,0.0,0.0,,,,
OBR,15.06.2015 00:00,16.5,17.7,15.6,,,,98.5,18.4,967.4,1014.9,,,1015.8,1.5,4.9,5.4,17.6,4.6,16.6,,,,,,386.0,,,,,,,0.0,45.0,0.0,0.0,,,,
OBR,16.06.2015 00:00,17.4,20.8,15.0,,,,80.9,15.9,970.4,1017.9,,,1019.0,2.2,8.5,7.9,30.6,8.3,29.9,,,,,,374.0,,,,,,,0.0,17.0,0.0,0.0,,,,
OBR,17.06.2015 00:00,16.8,21.2,13.3,,,,69.4,13.1,973.2,1020.8,,,1021.8,2.5,8.7,9.0,31.3,8.0,28.8,,,,,,334.0,,,,,,,0.0,27.0,0.0,0.0,,,,
OBR,18.06.2015 00:00,15.4,19.3,11.5,,,,88.9,15.4,971.0,1018.8,,,1019.5,2.2,8.1,7.9,29.2,7.5,27.0,,,,,,365.0,,,,,,,0.0,228.0,0.0,0.0,,,,
OBR,19.06.2015 00:00,15.0,18.6,12.5,,,,84.6,14.2,970.0,1017.9,,,1018.5,2.0,7.8,7.2,28.1,7.6,27.4,,,,,,363.0,,,,,,,0.0,360.0,0.0,0.0,,,,
OBR,20.06.2015 00:00,12.1,14.4,11.1,,,,95.9,13.5,972.3,1020.7,,,1020.8,1.9,8.0,6.8,28.8,7.5,27.0,,,,,,359.0,,,,,,,0.0,207.0,0.0,0.0,,,,
