station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PLF,28.09.1989 00:00,,8.5,5.1,,11.1,3.9,,,,,,,,,14.7,,52.9,,,,,,,,,,,,,,,,,,,,,,
PLF,29.09.1989 00:00,5.9,6.5,5.2,5.7,6.3,5.0,92.1,8.5,,,,,,3.4,12.7,12.2,45.7,,,,0.0,0.1,,,,,,,0.0,0.0,,0.0,78.0,14.1,6.1,-0.1,,,
PLF,30.09.1989 00:00,6.3,10.3,2.5,6.4,13.6,0.2,66.7,6.4,,,,,,2.3,9.4,8.3,33.8,,,,0.0,0.0,,,,,,,526.0,82.0,,0.0,80.0,13.7,5.7,-2.9,,,
PLF,01.10.1989 00:00,7.4,12.9,2.2,7.0,15.8,-0.7,15.0,1.4,,,,,,1.7,9.2,6.1,33.1,,,,0.0,0.0,,180.0,,,,,639.0,100.0,,0.0,90.0,12.6,4.6,-8.1,,,
PLF,02.10.1989 00:00,7.4,12.3,4.0,6.7,15.3,-0.2,40.6,4.0,,,,,,1.5,5.8,5.4,20.9,,,,0.0,0.0,,175.0,,,,,606.0,95.0,,0.0,85.0,12.6,4.6,-5.4,,,
PLF,03.10.1989 00:00,5.9,9.3,3.2,6.1,12.9,-0.2,85.5,7.9,,,,,,2.4,10.6,8.6,38.2,,,,0.0,0.0,,132.0,,,,,370.0,58.0,,0.0,85.0,14.1,6.1,-1.0,,,
PLF,04.10.1989 00:00,7.1,12.6,1.6,5.8,16.5,-3.4,76.5,7.8,,,,,,1.5,6.6,5.4,23.8,,,,0.0,0.0,,168.0,,,,,628.0,99.0,,0.0,135.0,12.9,4.9,-2.3,,,
PLF,05.10.1989 00:00,9.7,13.6,6.4,8.3,16.5,1.6,80.0,9.7,,,,,,1.8,6.2,6.5,22.3,,,,0.0,0.0,,153.0,,,,,602.0,95.0,,0.0,139.0,10.3,2.3,-1.9,,,
PLF,06.10.1989 00:00,9.9,13.4,7.3,8.5,13.8,3.2,81.0,9.9,,,,,,4.0,14.8,14.4,53.3,,,,10.1,2.4,,39.0,,,,,80.0,13.0,,0.0,232.0,10.1,2.1,1.9,,,
PLF,07.10.1989 00:00,6.1,7.5,3.9,5.8,8.9,3.4,44.7,4.2,,,,,,5.1,14.2,18.4,51.1,,,,9.4,11.4,,47.0,,,,,16.0,3.0,,0.0,239.0,13.9,5.9,10.5,,,
