station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PMA,29.10.1993 00:00,2.1,3.1,1.2,,,,,,,,,,,3.7,10.6,13.3,38.2,,,,,,,,,,,,,,,,212.0,,9.9,,,,
PMA,30.10.1993 00:00,0.5,1.7,-1.8,,,,,,,,,,,3.9,13.5,14.0,48.6,,,,,,,,,,,,,,,,212.0,,11.5,,,,
PMA,31.10.1993 00:00,-1.3,-0.1,-2.4,,,,,,,,,,,7.5,15.3,27.0,55.1,,,,,,,,,,,,,,,,205.0,,13.3,,,,
PMA,01.11.1993 00:00,-0.2,0.9,-1.7,,,,,,,,,,,7.6,18.0,27.4,64.8,,,,,,,,,,,,,,,,203.0,,12.2,,,,
PMA,02.11.1993 00:00,-0.6,0.3,-1.8,,,,,,,,,,,7.2,13.5,25.9,48.6,,,,,,,,,,,,,,,,205.0,,12.6,,,,
PMA,03.11.1993 00:00,-1.2,0.9,-2.4,,,,,,,,,,,3.6,12.0,13.0,43.2,,,,,,,,,,,,,,,,212.0,,13.2,,,,
PMA,04.11.1993 00:00,-0.7,1.4,-2.2,,,,,,,,,,,4.6,13.8,16.6,49.7,,,,,,,,,,,,,,,,209.0,,12.7,,,,
PMA,05.11.1993 00:00,0.2,2.1,-1.8,,,,,,,,,,,3.7,15.1,13.3,54.4,,,,,,,,,,,,,,,,209.0,,11.8,,,,
PMA,06.11.1993 00:00,-1.3,0.1,-2.6,,,,,,,,,,,5.8,14.0,20.9,50.4,,,,,,,,,,,,,,,,205.0,,13.3,,,,
PMA,07.11.1993 00:00,-3.3,-1.4,-5.5,,,,,,,,,,,7.6,22.3,27.4,80.3,,,,,,,,,,,,,,,,205.0,,15.3,,,,
PMA,08.11.1993 00:00,-5.2,-4.2,-6.3,,,,,,,,,,,1.8,3.9,6.5,14.0,,,,,,,,,,,,,,,,4.0,,17.2,,,,
PMA,09.11.1993 00:00,-5.4,-3.2,-7.3,,,,,,,,,,,2.1,7.0,7.6,25.2,,,,,,,,,,,,,,,,213.0,,17.4,,,,
PMA,10.11.1993 00:00,-5.4,-3.6,-7.2,,,,,,,,,,,3.7,10.1,13.3,36.4,,,,,,,,,,,,,,,,203.0,,17.4,,,,
PMA,11.11.1993 00:00,-3.9,-1.8,-5.5,,,,,,,,,,,3.6,17.6,13.0,63.4,,,,,,,,,,,,,,,,206.0,,15.9,,,,
PMA,12.11.1993 00:00,-7.7,-5.5,-10.5,,,,,,,,,,,2.3,7.1,8.3,25.6,,,,,,,,,,,,,,,,347.0,,19.7,,,,
PMA,13.11.1993 00:00,-8.2,-2.0,-12.2,,,,,,,,,,,5.0,17.2,18.0,61.9,,,,,,,,,,,,,,,,329.0,,20.2,,,,
PMA,14.11.1993 00:00,-3.9,0.5,-10.0,,,,,,,,,,,5.4,17.1,19.4,61.6,,,,,,,,,,,,,,,,245.0,,15.9,,,,
PMA,15.11.1993 00:00,-11.7,-10.3,-12.9,,,,,,,,,,,7.8,17.9,28.1,64.4,,,,,,,,,,,,,,,,347.0,,23.7,,,,
PMA,16.11.1993 00:00,-12.8,-10.8,-14.2,,,,,,,,,,,7.3,19.6,26.3,70.6,,,,,,,,,,,,,,,,350.0,,24.8,,,,
PMA,17.11.1993 00:00,-9.3,-7.9,-11.2,,,,,,,,,,,4.0,7.0,14.4,25.2,,,,,,,,,,,,,,,,348.0,,21.3,,,,
PMA,18.11.1993 00:00,-10.3,-8.3,-12.3,,,,,,,,,,,2.0,7.5,7.2,27.0,,,,,,,,,,,,,,,,315.0,,22.3,,,,
PMA,19.11.1993 00:00,-14.3,-11.9,-15.7,,,,,,,,,,,1.5,5.2,5.4,18.7,,,,,,,,,,,,,,,,270.0,,26.3,,,,
PMA,20.11.1993 00:00,-14.9,-12.9,-16.4,,,,,,,,,,,2.6,10.6,9.4,38.2,,,,,,,,,,,,,,,,297.0,,26.9,,,,
PMA,21.11.1993 00:00,-14.9,-13.4,-16.9,,,,,,,,,,,8.9,17.5,32.0,63.0,,,,,,,,,,,,,,,,201.0,,26.9,,,,
PMA,22.11.1993 00:00,-14.4,-12.6,-16.5,,,,,,,,,,,4.2,15.4,15.1,55.4,,,,,,,,,,,,,,,,207.0,,26.4,,,,
PMA,23.11.1993 00:00,-9.8,-6.5,-13.4,,,,,,,,,,,10.4,21.4,37.4,77.0,,,,,,,,,,,,,,,,208.0,,21.8,,,,
PMA,24.11.1993 00:00,-6.3,-3.4,-8.1,,,,,,,,,,,5.8,15.5,20.9,55.8,,,,,,,,,,,,,,,,201.0,,18.3,,,,
PMA,25.11.1993 00:00,-2.8,-0.7,-4.5,,,,,,,,,,,1.8,5.8,6.5,20.9,,,,,,,,,,,,,,,,5.0,,14.8,,,,
PMA,26.11.1993 00:00,-1.0,0.0,-2.2,,,,,,,,,,,1.0,3.1,3.6,11.2,,,,,,,,,,,,,,,,297.0,,13.0,,,,
PMA,27.11.1993 00:00,-2.1,-0.2,-2.9,,,,,,,,,,,1.7,4.8,6.1,17.3,,,,,,,,,,,,,,,,351.0,,14.1,,,,
PMA,28.11.1993 00:00,-5.0,-2.3,-12.7,,,,,,,,,,,2.9,9.0,10.4,32.4,,,,,,,,,,,,,,,,330.0,,17.0,,,,
PMA,29.11.1993 00:00,-14.3,-10.8,-17.6,,,,,,,,,,,3.8,16.4,13.7,59.0,,,,,,,,,,,,,,,,341.0,,26.3,,,,
PMA,30.11.1993 00:00,-5.0,-0.9,-12.9,,,,,,,,,,,4.0,12.4,14.4,44.6,,,,,,,,,,,,,,,,285.0,,17.0,,,,
PMA,01.12.1993 00:00,-8.3,-5.7,-9.8,,,,,,,,,,,3.3,16.0,11.9,57.6,,,,,,,,,,,,,,,,225.0,,20.3,,,,
PMA,02.12.1993 00:00,-6.7,-2.9,-9.6,,,,,,,,,,,3.3,7.7,11.9,27.7,,,,,,,,,,,,,,,,354.0,,18.7,,,,
PMA,03.12.1993 00:00,1.3,4.4,-2.7,,,,,,,,,,,2.1,6.2,7.6,22.3,,,,,,,,,,,,,,,,326.0,,10.7,,,,
PMA,04.12.1993 00:00,4.3,6.7,-0.5,,,,,,,,,,,2.2,6.7,7.9,24.1,,,,,,,,,,,,,,,,217.0,,7.7,,,,
PMA,05.12.1993 00:00,-5.2,-0.5,-8.3,,,,,,,,,,,3.6,7.2,13.0,25.9,,,,,,,,,,,,,,,,14.0,,17.2,,,,
PMA,06.12.1993 00:00,-3.6,-1.8,-5.7,,,,,,,,,,,2.9,10.5,10.4,37.8,,,,,,,,,,,,,,,,208.0,,15.6,,,,
PMA,07.12.1993 00:00,-7.4,-5.6,-9.3,,,,,,,,,,,4.6,15.6,16.6,56.2,,,,,,,,,,,,,,,,222.0,,19.4,,,,
PMA,08.12.1993 00:00,-5.3,0.1,-9.9,,,,,,,,,,,4.8,20.1,17.3,72.4,,,,,,,,,,,,,,,,273.0,,17.3,,,,
PMA,09.12.1993 00:00,-2.4,-0.7,-4.7,,,,,,,,,,,7.0,27.1,25.2,97.6,,,,,,,,,,,,,,,,292.0,,14.4,,,,
PMA,11.12.1993 00:00,-10.6,-3.3,-14.4,,,,,,,,,,,5.3,19.6,19.1,70.6,,,,,,,,,,,,,,,,301.0,,22.6,,,,
PMA,12.12.1993 00:00,-12.1,-7.1,-14.8,,,,,,,,,,,4.9,19.2,17.6,69.1,,,,,,,,,,,,,,,,309.0,,24.1,,,,
PMA,13.12.1993 00:00,-4.0,0.0,-8.1,,,,,,,,,,,12.2,32.3,43.9,116.3,,,,,,,,,,,,,,,,218.0,,16.0,,,,
PMA,14.12.1993 00:00,-6.8,-5.3,-9.2,,,,,,,,,,,8.0,25.2,28.8,90.7,,,,,,,,,,,,,,,,208.0,,18.8,,,,
PMA,15.12.1993 00:00,-9.5,-7.8,-11.8,,,,,,,,,,,10.3,26.1,37.1,94.0,,,,,,,,,,,,,,,,209.0,,21.5,,,,
PMA,16.12.1993 00:00,-10.5,-8.8,-12.2,,,,,,,,,,,6.5,25.8,23.4,92.9,,,,,,,,,,,,,,,,229.0,,22.5,,,,
PMA,17.12.1993 00:00,-7.8,-4.6,-12.0,,,,,,,,,,,5.1,19.4,18.4,69.8,,,,,,,,,,,,,,,,308.0,,19.8,,,,
PMA,18.12.1993 00:00,-3.4,-1.3,-7.0,,,,,,,,,,,2.8,8.2,10.1,29.5,,,,,,,,,,,,,,,,214.0,,15.4,,,,
PMA,19.12.1993 00:00,-0.7,1.8,-2.6,,,,,,,,,,,4.8,15.3,17.3,55.1,,,,,,,,,,,,,,,,222.0,,12.7,,,,
PMA,20.12.1993 00:00,1.7,3.2,0.3,,,,,,,,,,,4.8,21.3,17.3,76.7,,,,,,,,,,,,,,,,264.0,,10.3,,,,
PMA,21.12.1993 00:00,-4.7,1.5,-13.6,,,,,,,,,,,7.0,21.7,25.2,78.1,,,,,,,,,,,,,,,,249.0,,16.7,,,,
PMA,22.12.1993 00:00,-13.4,-11.2,-16.3,,,,,,,,,,,7.1,25.0,25.6,90.0,,,,,,,,,,,,,,,,248.0,,25.4,,,,
PMA,23.12.1993 00:00,-10.4,-9.1,-12.0,,,,,,,,,,,7.4,23.2,26.6,83.5,,,,,,,,,,,,,,,,226.0,,22.4,,,,
PMA,24.12.1993 00:00,-12.3,-8.2,-16.1,,,,,,,,,,,12.1,32.4,43.6,116.6,,,,,,,,,,,,,,,,234.0,,24.3,,,,
PMA,25.12.1993 00:00,-14.0,-12.0,-15.6,,,,,,,,,,,4.0,16.0,14.4,57.6,,,,,,,,,,,,,,,,333.0,,26.0,,,,
PMA,26.12.1993 00:00,-17.2,-14.9,-20.0,,,,,,,,,,,6.6,14.8,23.8,53.3,,,,,,,,,,,,,,,,350.0,,29.2,,,,
PMA,27.12.1993 00:00,-16.5,-15.8,-18.3,,,,,,,,,,,4.4,10.5,15.8,37.8,,,,,,,,,,,,,,,,355.0,,28.5,,,,
PMA,28.12.1993 00:00,-11.2,-9.1,-17.0,,,,,,,,,,,3.7,12.0,13.3,43.2,,,,,,,,,,,,,,,,218.0,,23.2,,,,
PMA,29.12.1993 00:00,-7.4,-2.8,-11.0,,,,,,,,,,,2.7,8.7,9.7,31.3,,,,,,,,,,,,,,,,283.0,,19.4,,,,
PMA,30.12.1993 00:00,-4.7,-2.5,-6.6,,,,,,,,,,,5.4,20.7,19.4,74.5,,,,,,,,,,,,,,,,260.0,,16.7,,,,
PMA,31.12.1993 00:00,-4.4,-2.7,-6.4,,,,,,,,,,,12.6,31.8,45.4,114.5,,,,,,,,,,,,,,,,209.0,,16.4,,,,
PMA,01.01.1994 00:00,-11.2,-6.3,-14.2,,,,,,,,,,,9.1,26.6,32.8,95.8,,,,,,,,,,,,,,,,348.0,,23.2,,,,
PMA,02.01.1994 00:00,-7.1,-1.8,-13.9,,,,,,,,,,,4.9,17.3,17.6,62.3,,,,,,,,,,,,,,,,274.0,,19.1,,,,
PMA,03.01.1994 00:00,-5.7,-0.2,-8.9,,,,,,,,,,,6.9,26.4,24.8,95.0,,,,,,,,,,,,,,,,232.0,,17.7,,,,
PMA,04.01.1994 00:00,-6.3,-4.9,-8.3,,,,,,,,,,,9.4,24.5,33.8,88.2,,,,,,,,,,,,,,,,213.0,,18.3,,,,
PMA,05.01.1994 00:00,-8.5,-7.2,-9.8,,,,,,,,,,,11.9,32.2,42.8,115.9,,,,,,,,,,,,,,,,209.0,,20.5,,,,
PMA,06.01.1994 00:00,-6.5,-5.5,-8.0,,,,,,,,,,,20.9,38.0,75.2,136.8,,,,,,,,,,,,,,,,202.0,,18.5,,,,
PMA,07.01.1994 00:00,-5.3,-3.9,-6.5,,,,,,,,,,,12.0,29.2,43.2,105.1,,,,,,,,,,,,,,,,195.0,,17.3,,,,
PMA,08.01.1994 00:00,-5.7,-4.7,-6.6,,,,,,,,,,,9.1,21.3,32.8,76.7,,,,,,,,,,,,,,,,203.0,,17.7,,,,
PMA,09.01.1994 00:00,-5.0,-4.3,-5.8,,,,,,,,,,,6.1,15.8,22.0,56.9,,,,,,,,,,,,,,,,204.0,,17.0,,,,
PMA,10.01.1994 00:00,-6.0,-5.1,-7.0,,,,,,,,,,,8.9,19.9,32.0,71.6,,,,,,,,,,,,,,,,203.0,,18.0,,,,
PMA,11.01.1994 00:00,-7.1,-5.0,-8.6,,,,,,,,,,,3.3,11.6,11.9,41.8,,,,,,,,,,,,,,,,336.0,,19.1,,,,
PMA,12.01.1994 00:00,-2.9,0.1,-8.6,,,,,,,,,,,2.3,8.1,8.3,29.2,,,,,,,,,,,,,,,,239.0,,14.9,,,,
PMA,13.01.1994 00:00,-0.5,0.5,-2.1,,,,,,,,,,,2.9,13.8,10.4,49.7,,,,,,,,,,,,,,,,240.0,,12.5,,,,
PMA,14.01.1994 00:00,-5.4,-1.1,-10.9,,,,,,,,,,,3.3,13.6,11.9,49.0,,,,,,,,,,,,,,,,281.0,,17.4,,,,
PMA,15.01.1994 00:00,-10.5,-8.2,-11.7,,,,,,,,,,,4.3,15.4,15.5,55.4,,,,,,,,,,,,,,,,222.0,,22.5,,,,
PMA,16.01.1994 00:00,-11.8,-11.0,-12.7,,,,,,,,,,,3.6,12.3,13.0,44.3,,,,,,,,,,,,,,,,212.0,,23.8,,,,
PMA,17.01.1994 00:00,-13.7,-11.6,-15.5,,,,,,,,,,,2.6,7.7,9.4,27.7,,,,,,,,,,,,,,,,360.0,,25.7,,,,
PMA,18.01.1994 00:00,-12.8,-8.1,-17.1,,,,,,,,,,,2.8,6.8,10.1,24.5,,,,,,,,,,,,,,,,357.0,,24.8,,,,
PMA,19.01.1994 00:00,-8.4,-0.4,-10.3,,,,,,,,,,,4.3,11.5,15.5,41.4,,,,,,,,,,,,,,,,199.0,,20.4,,,,
PMA,20.01.1994 00:00,-12.6,-8.7,-16.8,,,,,,,,,,,4.6,10.7,16.6,38.5,,,,,,,,,,,,,,,,357.0,,24.6,,,,
PMA,21.01.1994 00:00,-10.8,-4.0,-16.8,,,,,,,,,,,4.8,11.7,17.3,42.1,,,,,,,,,,,,,,,,1.0,,22.8,,,,
PMA,22.01.1994 00:00,-3.1,-1.8,-5.4,,,,,,,,,,,4.4,8.8,15.8,31.7,,,,,,,,,,,,,,,,4.0,,15.1,,,,
PMA,23.01.1994 00:00,-2.6,0.2,-5.3,,,,,,,,,,,2.8,14.0,10.1,50.4,,,,,,,,,,,,,,,,340.0,,14.6,,,,
PMA,24.01.1994 00:00,-5.2,-3.6,-7.2,,,,,,,,,,,3.6,13.2,13.0,47.5,,,,,,,,,,,,,,,,312.0,,17.2,,,,
PMA,25.01.1994 00:00,-3.1,-1.6,-4.8,,,,,,,,,,,5.1,24.1,18.4,86.8,,,,,,,,,,,,,,,,319.0,,15.1,,,,
PMA,26.01.1994 00:00,-9.8,-3.5,-13.4,,,,,,,,,,,10.2,32.5,36.7,117.0,,,,,,,,,,,,,,,,329.0,,21.8,,,,
PMA,27.01.1994 00:00,-5.6,-0.9,-12.9,,,,,,,,,,,4.7,17.3,16.9,62.3,,,,,,,,,,,,,,,,309.0,,17.6,,,,
PMA,28.01.1994 00:00,-11.9,-4.0,-16.9,,,,,,,,,,,12.6,33.3,45.4,119.9,,,,,,,,,,,,,,,,328.0,,23.9,,,,
PMA,29.01.1994 00:00,-14.9,-9.4,-18.7,,,,,,,,,,,8.2,26.4,29.5,95.0,,,,,,,,,,,,,,,,343.0,,26.9,,,,
PMA,30.01.1994 00:00,-5.5,-0.8,-9.8,,,,,,,,,,,4.6,14.3,16.6,51.5,,,,,,,,,,,,,,,,325.0,,17.5,,,,
PMA,31.01.1994 00:00,-7.6,-0.5,-9.7,,,,,,,,,,,4.5,17.2,16.2,61.9,,,,,,,,,,,,,,,,345.0,,19.6,,,,
PMA,01.02.1994 00:00,-2.3,0.8,-4.3,,,,,,,,,,,2.2,8.0,7.9,28.8,,,,,,,,,,,,,,,,233.0,,14.3,,,,
PMA,02.02.1994 00:00,-1.7,0.2,-6.1,,,,,,,,,,,5.7,17.4,20.5,62.6,,,,,,,,,,,,,,,,233.0,,13.7,,,,
PMA,03.02.1994 00:00,-6.7,-4.9,-8.9,,,,,,,,,,,10.8,25.9,38.9,93.2,,,,,,,,,,,,,,,,213.0,,18.7,,,,
PMA,04.02.1994 00:00,-6.5,-4.9,-7.9,,,,,,,,,,,9.9,25.7,35.6,92.5,,,,,,,,,,,,,,,,200.0,,18.5,,,,
PMA,05.02.1994 00:00,-7.7,-5.3,-9.6,,,,,,,,,,,7.1,20.3,25.6,73.1,,,,,,,,,,,,,,,,199.0,,19.7,,,,
PMA,06.02.1994 00:00,-9.3,-7.9,-11.1,,,,,,,,,,,3.9,12.0,14.0,43.2,,,,,,,,,,,,,,,,291.0,,21.3,,,,
PMA,07.02.1994 00:00,-7.0,-5.3,-11.0,,,,,,,,,,,1.9,6.4,6.8,23.0,,,,,,,,,,,,,,,,234.0,,19.0,,,,
PMA,08.02.1994 00:00,-10.9,-9.8,-12.1,,,,,,,,,,,5.6,13.4,20.2,48.2,,,,,,,,,,,,,,,,346.0,,22.9,,,,
PMA,09.02.1994 00:00,-12.3,-11.1,-13.3,,,,,,,,,,,3.5,8.3,12.6,29.9,,,,,,,,,,,,,,,,355.0,,24.3,,,,
