station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PSI,15.01.1992 00:00,1.4,4.0,-1.9,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,18.6,10.6,,,,
PSI,16.01.1992 00:00,2.0,2.8,1.1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,18.0,10.0,,,,
PSI,17.01.1992 00:00,2.2,4.7,0.6,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,17.8,9.8,,,,
PSI,18.01.1992 00:00,1.6,4.2,-1.3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,18.4,10.4,,,,
PSI,19.01.1992 00:00,-0.5,2.2,-3.5,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,0.0,,20.5,12.5,,,,
PSI,20.01.1992 00:00,0.9,2.2,-0.4,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.0,,19.1,11.1,,,,
PSI,21.01.1992 00:00,-5.2,-0.5,-7.3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,25.2,17.2,,,,
PSI,22.01.1992 00:00,-6.3,-3.6,-8.8,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,26.3,18.3,,,,
PSI,23.01.1992 00:00,-6.8,-3.0,-9.9,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,26.8,18.8,,,,
PSI,24.01.1992 00:00,-6.6,-1.7,-9.6,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,26.6,18.6,,,,
PSI,25.01.1992 00:00,-5.2,-1.5,-7.6,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,25.2,17.2,,,,
PSI,26.01.1992 00:00,-3.4,-0.9,-5.8,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,23.4,15.4,,,,
PSI,27.01.1992 00:00,-0.6,0.1,-2.4,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,20.6,12.6,,,,
PSI,28.01.1992 00:00,-0.5,-0.1,-0.7,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,20.5,12.5,,,,
PSI,29.01.1992 00:00,-1.5,1.0,-5.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,21.5,13.5,,,,
PSI,30.01.1992 00:00,-4.1,0.8,-7.2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,24.1,16.1,,,,
PSI,31.01.1992 00:00,-2.0,4.6,-6.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,22.0,14.0,,,,
PSI,01.02.1992 00:00,-1.7,-0.2,-2.8,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,21.7,13.7,,,,
PSI,02.02.1992 00:00,-1.4,1.1,-3.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,21.4,13.4,,,,
PSI,03.02.1992 00:00,0.8,4.9,-1.6,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,0.0,,19.2,11.2,,,,
PSI,04.02.1992 00:00,2.9,5.8,0.5,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,0.0,,17.1,9.1,,,,
PSI,05.02.1992 00:00,4.8,7.2,3.3,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,0.0,,15.2,7.2,,,,
PSI,06.02.1992 00:00,4.3,7.5,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,15.7,7.7,,,,
PSI,07.02.1992 00:00,0.9,4.5,-1.3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,19.1,11.1,,,,
PSI,08.02.1992 00:00,1.2,3.2,-0.1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,18.8,10.8,,,,
PSI,09.02.1992 00:00,1.3,6.7,-0.7,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,0.0,,18.7,10.7,,,,
PSI,10.02.1992 00:00,4.0,8.3,-0.6,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,16.0,8.0,,,,
PSI,11.02.1992 00:00,2.9,5.5,-0.5,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,0.0,,17.1,9.1,,,,
PSI,12.02.1992 00:00,6.3,9.9,4.2,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.0,,13.7,5.7,,,,
PSI,13.02.1992 00:00,5.3,6.9,4.2,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,0.0,,14.7,6.7,,,,
PSI,14.02.1992 00:00,4.0,7.4,-0.9,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,16.0,8.0,,,,
PSI,15.02.1992 00:00,4.2,6.6,-0.7,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,0.0,,15.8,7.8,,,,
PSI,16.02.1992 00:00,4.5,7.5,1.5,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,0.0,,15.5,7.5,,,,
PSI,17.02.1992 00:00,0.3,2.4,-0.8,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,0.0,,19.7,11.7,,,,
PSI,18.02.1992 00:00,-2.9,-0.7,-6.3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,22.9,14.9,,,,
PSI,19.02.1992 00:00,-5.0,-0.7,-8.9,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,25.0,17.0,,,,
PSI,20.02.1992 00:00,-4.0,0.8,-9.6,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,24.0,16.0,,,,
PSI,21.02.1992 00:00,-1.1,7.8,-5.6,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,21.1,13.1,,,,
