station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
RAG,01.06.1870 00:00,14.5,,,,,,,,954.5,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,02.06.1870 00:00,14.3,,,,,,,,956.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,03.06.1870 00:00,16.9,,,,,,,,958.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,04.06.1870 00:00,14.5,,,,,,,,963.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,05.06.1870 00:00,10.9,,,,,,,,961.9,,,,,,,,,,,,14.6,,,,,,,,,,,,,,,,,,
RAG,06.06.1870 00:00,12.7,,,,,,,,957.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,07.06.1870 00:00,12.9,,,,,,,,953.7,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,
RAG,08.06.1870 00:00,14.0,,,,,,,,953.1,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,
RAG,09.06.1870 00:00,16.4,,,,,,,,950.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,10.06.1870 00:00,15.4,,,,,,,,948.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,11.06.1870 00:00,15.4,,,,,,,,956.6,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,
RAG,12.06.1870 00:00,18.1,,,,,,,,962.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,13.06.1870 00:00,20.3,,,,,,,,961.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,14.06.1870 00:00,21.9,,,,,,,,960.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,15.06.1870 00:00,20.1,,,,,,,,961.4,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,
RAG,16.06.1870 00:00,20.9,,,,,,,,960.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,17.06.1870 00:00,19.5,,,,,,,,958.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,18.06.1870 00:00,19.1,,,,,,,,960.5,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,19.06.1870 00:00,21.8,,,,,,,,961.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,20.06.1870 00:00,23.3,,,,,,,,962.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,21.06.1870 00:00,21.8,,,,,,,,960.8,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,22.06.1870 00:00,22.2,,,,,,,,960.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,23.06.1870 00:00,22.9,,,,,,,,955.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,24.06.1870 00:00,21.6,,,,,,,,950.5,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,
RAG,25.06.1870 00:00,12.8,,,,,,,,954.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,26.06.1870 00:00,14.4,,,,,,,,958.8,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,
RAG,27.06.1870 00:00,18.0,,,,,,,,953.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,28.06.1870 00:00,14.0,,,,,,,,954.8,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,
RAG,29.06.1870 00:00,16.2,,,,,,,,954.8,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,30.06.1870 00:00,17.4,,,,,,,,955.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,01.07.1870 00:00,19.8,,,,,,,,959.5,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,02.07.1870 00:00,11.9,,,,,,,,957.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,03.07.1870 00:00,14.9,,,,,,,,957.5,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,
RAG,04.07.1870 00:00,18.9,,,,,,,,960.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,05.07.1870 00:00,21.1,,,,,,,,965.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,06.07.1870 00:00,25.6,,,,,,,,961.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,07.07.1870 00:00,23.9,,,,,,,,961.5,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,08.07.1870 00:00,23.8,,,,,,,,960.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,09.07.1870 00:00,22.1,,,,,,,,959.9,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,
RAG,10.07.1870 00:00,24.5,,,,,,,,959.1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,11.07.1870 00:00,29.1,,,,,,,,953.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,12.07.1870 00:00,21.9,,,,,,,,953.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,13.07.1870 00:00,17.3,,,,,,,,956.1,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,
RAG,14.07.1870 00:00,17.1,,,,,,,,960.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,15.07.1870 00:00,20.8,,,,,,,,959.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,16.07.1870 00:00,22.0,,,,,,,,957.1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,17.07.1870 00:00,16.8,,,,,,,,959.6,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,
RAG,18.07.1870 00:00,16.3,,,,,,,,961.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,19.07.1870 00:00,19.6,,,,,,,,963.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,20.07.1870 00:00,20.6,,,,,,,,965.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,21.07.1870 00:00,22.3,,,,,,,,963.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,22.07.1870 00:00,21.0,,,,,,,,960.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,23.07.1870 00:00,22.4,,,,,,,,959.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,24.07.1870 00:00,23.8,,,,,,,,958.5,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,25.07.1870 00:00,23.3,,,,,,,,957.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,26.07.1870 00:00,20.4,,,,,,,,957.5,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,
RAG,27.07.1870 00:00,18.8,,,,,,,,955.2,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,
RAG,28.07.1870 00:00,15.9,,,,,,,,954.6,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,
RAG,29.07.1870 00:00,17.5,,,,,,,,954.0,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,
RAG,30.07.1870 00:00,19.0,,,,,,,,953.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
RAG,31.07.1870 00:00,17.4,,,,,,,,953.5,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
RAG,01.08.1870 00:00,19.3,,,,,,,,956.3,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,
RAG,02.08.1870 00:00,22.5,,,,,,,,955.6,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,
