station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SPF,01.05.1993 00:00,,,,,,,,,,,,,,2.2,10.8,7.9,38.9,,,,,,,,,,,,,,,,188.0,,,,,,
SPF,02.05.1993 00:00,,,,,,,,,,,,,,1.8,6.9,6.5,24.8,,,,,,,,,,,,,,,,220.0,,,,,,
SPF,03.05.1993 00:00,,,,,,,,,,,,,,1.3,8.9,4.7,32.0,,,,,,,,,,,,,,,,22.0,,,,,,
SPF,04.05.1993 00:00,,,,,,,,,,,,,,3.5,9.0,12.6,32.4,,,,,,,,,,,,,,,,26.0,,,,,,
SPF,05.05.1993 00:00,,,,,,,,,,,,,,3.1,8.0,11.2,28.8,,,,,,,,,,,,,,,,30.0,,,,,,
SPF,06.05.1993 00:00,,,,,,,,,,,,,,2.5,8.6,9.0,31.0,,,,,,,,,,,,,,,,30.0,,,,,,
SPF,07.05.1993 00:00,,,,,,,,,,,,,,1.7,6.6,6.1,23.8,,,,,,,,,,,,,,,,20.0,,,,,,
SPF,08.05.1993 00:00,,,,,,,,,,,,,,1.6,6.1,5.8,22.0,,,,,,,,,,,,,,,,146.0,,,,,,
SPF,09.05.1993 00:00,,,,,,,,,,,,,,2.1,10.9,7.6,39.2,,,,,,,,,,,,,,,,63.0,,,,,,
SPF,10.05.1993 00:00,,,,,,,,,,,,,,2.3,8.4,8.3,30.2,,,,,,,,,,,,,,,,34.0,,,,,,
SPF,11.05.1993 00:00,,,,,,,,,,,,,,2.1,10.5,7.6,37.8,,,,,,,,,,,,,,,,214.0,,,,,,
SPF,12.05.1993 00:00,,,,,,,,,,,,,,1.6,5.8,5.8,20.9,,,,,,,,,,,,,,,,219.0,,,,,,
SPF,13.05.1993 00:00,,,,,,,,,,,,,,2.0,7.6,7.2,27.4,,,,,,,,,,,,,,,,204.0,,,,,,
SPF,14.05.1993 00:00,,,,,,,,,,,,,,1.6,7.5,5.8,27.0,,,,,,,,,,,,,,,,208.0,,,,,,
SPF,19.05.1993 00:00,,,,,,,,,,,,,,2.5,10.0,9.0,36.0,,,,,,,,,,,,,,,,30.0,,,,,,
SPF,20.05.1993 00:00,,,,,,,,,,,,,,2.6,16.0,9.4,57.6,,,,,,,,,,,,,,,,194.0,,,,,,
SPF,21.05.1993 00:00,,,,,,,,,,,,,,2.5,8.9,9.0,32.0,,,,,,,,,,,,,,,,187.0,,,,,,
SPF,25.05.1993 00:00,,,,,,,,,,,,,,2.0,7.3,7.2,26.3,,,,,,,,,,,,,,,,72.0,,,,,,
SPF,26.05.1993 00:00,,,,,,,,,,,,,,2.2,8.9,7.9,32.0,,,,,,,,,,,,,,,,59.0,,,,,,
SPF,27.05.1993 00:00,,,,,,,,,,,,,,3.1,15.0,11.2,54.0,,,,,,,,,,,,,,,,204.0,,,,,,
SPF,28.05.1993 00:00,,,,,,,,,,,,,,3.2,16.8,11.5,60.5,,,,,,,,,,,,,,,,219.0,,,,,,
SPF,29.05.1993 00:00,,,,,,,,,,,,,,2.3,8.0,8.3,28.8,,,,,,,,,,,,,,,,36.0,,,,,,
SPF,30.05.1993 00:00,,,,,,,,,,,,,,2.0,13.8,7.2,49.7,,,,,,,,,,,,,,,,210.0,,,,,,
SPF,31.05.1993 00:00,,,,,,,,,,,,,,2.1,12.9,7.6,46.4,,,,,,,,,,,,,,,,234.0,,,,,,
SPF,01.06.1993 00:00,,,,,,,,,,,,,,2.1,7.0,7.6,25.2,,,,,,,,,,,,,,,,45.0,,,,,,
SPF,02.06.1993 00:00,,,,,,,,,,,,,,3.1,14.9,11.2,53.6,,,,,,,,,,,,,,,,212.0,,,,,,
SPF,03.06.1993 00:00,,,,,,,,,,,,,,2.1,8.3,7.6,29.9,,,,,,,,,,,,,,,,227.0,,,,,,
SPF,04.06.1993 00:00,,,,,,,,,,,,,,3.0,12.4,10.8,44.6,,,,,,,,,,,,,,,,28.0,,,,,,
SPF,05.06.1993 00:00,,,,,,,,,,,,,,2.3,7.8,8.3,28.1,,,,,,,,,,,,,,,,39.0,,,,,,
SPF,06.06.1993 00:00,,,,,,,,,,,,,,2.3,14.4,8.3,51.8,,,,,,,,,,,,,,,,211.0,,,,,,
SPF,07.06.1993 00:00,,,,,,,,,,,,,,2.2,7.4,7.9,26.6,,,,,,,,,,,,,,,,63.0,,,,,,
SPF,16.06.1993 00:00,,,,,,,,,,,,,,1.7,7.0,6.1,25.2,,,,,,,,,,,,,,,,210.0,,,,,,
SPF,17.06.1993 00:00,,,,,,,,,,,,,,2.8,10.6,10.1,38.2,,,,,,,,,,,,,,,,206.0,,,,,,
SPF,18.06.1993 00:00,,,,,,,,,,,,,,1.8,6.3,6.5,22.7,,,,,,,,,,,,,,,,56.0,,,,,,
SPF,19.06.1993 00:00,,,,,,,,,,,,,,2.0,8.7,7.2,31.3,,,,,,,,,,,,,,,,230.0,,,,,,
SPF,20.06.1993 00:00,,,,,,,,,,,,,,1.8,10.0,6.5,36.0,,,,,,,,,,,,,,,,14.0,,,,,,
