station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
STC,17.01.1992 00:00,1.3,3.3,-0.4,,,,75.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,18.01.1992 00:00,0.3,2.1,-1.5,,,,77.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,19.01.1992 00:00,-0.8,1.3,-3.6,,,,83.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,20.01.1992 00:00,0.0,0.9,-0.6,,,,97.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,21.01.1992 00:00,-5.9,-0.9,-8.8,,,,63.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,22.01.1992 00:00,-7.4,-5.0,-9.6,,,,78.1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,23.01.1992 00:00,-5.7,-3.4,-7.9,,,,83.8,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,24.01.1992 00:00,-2.9,1.4,-5.1,,,,82.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,25.01.1992 00:00,-5.6,-3.9,-7.9,,,,93.9,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,26.01.1992 00:00,-5.2,-4.0,-6.0,,,,95.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,27.01.1992 00:00,-3.0,-1.1,-5.1,,,,87.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,28.01.1992 00:00,-2.0,-1.3,-2.6,,,,79.4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,29.01.1992 00:00,-1.8,0.0,-3.9,,,,76.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,30.01.1992 00:00,-0.9,3.4,-2.9,,,,80.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,31.01.1992 00:00,-2.7,-0.8,-4.6,,,,96.2,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,01.02.1992 00:00,-3.3,-0.1,-6.1,,,,96.5,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,02.02.1992 00:00,-1.2,1.9,-4.1,,,,89.9,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,03.02.1992 00:00,0.8,3.1,-2.1,,,,83.5,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,04.02.1992 00:00,2.8,4.9,0.6,,,,95.2,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,05.02.1992 00:00,5.5,6.4,4.7,,,,97.7,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,06.02.1992 00:00,3.7,5.9,0.7,,,,91.6,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,07.02.1992 00:00,1.8,6.0,-2.5,,,,88.2,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,08.02.1992 00:00,0.3,2.9,-1.0,,,,93.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,09.02.1992 00:00,1.9,7.6,-2.5,,,,85.7,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,10.02.1992 00:00,4.1,7.5,1.5,,,,75.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,11.02.1992 00:00,2.9,5.0,0.6,,,,85.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,12.02.1992 00:00,7.2,9.8,4.5,,,,95.5,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,13.02.1992 00:00,4.8,7.2,3.5,,,,94.5,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,15.02.1992 00:00,4.7,7.1,0.3,,,,87.8,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
