station_abbr,year,HDD,CDD
ABO,2000,4167.5,0.0
ABO,2001,4385.6,0.0
ABO,2002,4092.1,0.0
ABO,2003,4097.2,0.0
ABO,2004,4437.0,0.0
ABO,2005,4669.5,0.0
ABO,2006,4174.7,0.0
ABO,2007,4201.7,0.0
ABO,2008,4361.8,0.0
ABO,2009,4306.1,0.0
ABO,2010,4719.2,0.0
ABO,2011,3926.5,0.0
ABO,2012,4292.3,0.0
ABO,2013,4495.4,0.0
ABO,2014,4009.9,0.0
ABO,2015,3967.0,1.0
ABO,2016,4119.3,0.0
ABO,2017,4132.6,0.0
ABO,2018,3850.4,0.0
ABO,2019,4009.4,0.5
ABO,2020,3810.1,0.0
ABO,2021,4221.4,0.0
ABO,2022,3607.2,0.0
ABO,2023,3718.6,0.0
ABO,2024,3676.7,0.0
AIG,2000,2696.2,0.0
AIG,2001,2803.7,0.0
AIG,2002,2654.8,2.299999999999997
AIG,2003,2895.7,12.899999999999999
AIG,2004,3018.1,0.0
AIG,2005,3263.6,1.6999999999999993
AIG,2006,2921.8,0.6999999999999993
AIG,2007,2834.6,0.0
AIG,2008,2922.0,0.0
AIG,2009,2765.2,0.8000000000000007
AIG,2010,3109.2,3.3000000000000007
AIG,2011,2729.6,0.10000000000000142
AIG,2012,2847.4,3.299999999999997
AIG,2013,3064.9,5.0
AIG,2014,2526.9,0.0
AIG,2015,2824.2,21.000000000000004
AIG,2016,2868.8,0.5
AIG,2017,3007.3,5.299999999999994
AIG,2018,2543.0,3.3000000000000043
AIG,2019,2772.1,9.800000000000004
AIG,2020,2640.7,4.0
AIG,2021,2952.3,0.0
AIG,2022,2527.1,12.899999999999995
AIG,2023,2574.2,26.50000000000001
AIG,2024,2566.2,0.5
ALT,2000,2770.9,10.100000000000001
ALT,2001,2966.2,5.300000000000001
ALT,2002,2733.7,4.300000000000001
ALT,2003,2900.0,37.099999999999994
ALT,2004,3033.6,0.8999999999999986
ALT,2005,3216.3,5.800000000000001
ALT,2006,2980.4,3.0
ALT,2007,2850.7,8.0
ALT,2008,2925.3,1.3000000000000007
ALT,2009,2884.1,3.900000000000002
ALT,2010,3204.1,2.3000000000000007
ALT,2011,2768.2,4.399999999999999
ALT,2012,3000.1,1.5
ALT,2013,3171.1,16.1
ALT,2014,2605.3,0.6000000000000014
ALT,2015,2949.5,13.500000000000004
ALT,2016,2887.8,0.0
ALT,2017,2953.4,7.800000000000001
ALT,2018,2536.6,1.9000000000000021
ALT,2019,2768.5,9.8
ALT,2020,2776.7,2.299999999999997
ALT,2021,3047.5,1.0
ALT,2022,2639.4,11.500000000000004
ALT,2023,2623.5,7.800000000000001
ALT,2024,2644.3,1.9000000000000021
AND,2008,1990.5,0.0
AND,2009,3870.0,0.0
AND,2010,4168.3,0.0
AND,2011,3703.6,0.0
AND,2012,4063.9,0.0
AND,2013,4068.8,0.0
AND,2014,3598.9,0.0
AND,2015,3784.6,0.0
AND,2016,3865.6,0.0
AND,2017,3886.9,0.0
AND,2018,3432.1,0.0
AND,2019,3703.8,0.0
AND,2020,3672.8,0.0
AND,2021,4131.2,0.0
AND,2022,3546.3,0.0
AND,2023,3545.8,0.0
AND,2024,3566.9,0.0
ANT,2000,4831.1,0.0
ANT,2001,4965.3,0.0
ANT,2002,4671.9,0.0
ANT,2003,4766.9,0.0
ANT,2004,5038.0,0.0
ANT,2005,5261.6,0.0
ANT,2006,4865.5,0.0
ANT,2007,4810.4,0.0
ANT,2008,4897.5,0.0
ANT,2009,4864.4,0.0
ANT,2010,5285.2,0.0
ANT,2011,4655.3,0.0
ANT,2012,5000.2,0.0
ANT,2013,5109.0,0.0
ANT,2014,4732.0,0.0
ANT,2015,4927.8,0.0
ANT,2016,5025.5,0.0
ANT,2017,5058.7,0.0
ANT,2018,4702.0,0.0
ANT,2019,4895.0,0.0
ANT,2020,4713.7,0.0
ANT,2021,5211.5,0.0
ANT,2022,4612.3,0.0
ANT,2023,4623.2,0.0
ANT,2024,4662.0,0.0
ARH,2000,2654.1,2.3000000000000007
ARH,2001,2896.0,1.5
ARH,2002,2907.7,2.400000000000002
ARH,2003,3177.6,7.600000000000005
ARH,2004,3193.8,0.0
ARH,2005,3291.0,1.1000000000000014
ARH,2006,3130.1,2.6000000000000014
ARH,2007,2902.3,3.8999999999999986
ARH,2008,3062.4,0.6999999999999993
ARH,2009,3011.6,0.0
ARH,2010,3305.5,7.900000000000002
ARH,2011,2842.9,0.8000000000000007
ARH,2012,2993.1,3.6000000000000014
ARH,2013,3152.7,9.700000000000003
ARH,2014,2679.1,1.6000000000000014
ARH,2015,2906.5,16.299999999999997
ARH,2016,2961.4,0.40000000000000213
ARH,2017,3030.7,8.5
ARH,2018,2661.5,6.0
ARH,2019,2849.1,12.399999999999999
ARH,2020,2777.4,3.299999999999997
ARH,2021,3055.0,3.299999999999997
ARH,2022,2644.0,9.200000000000003
ARH,2023,2591.2,11.000000000000004
ARH,2024,2653.9,2.099999999999998
ARO,2000,5028.5,0.0
ARO,2001,5235.1,0.0
ARO,2002,4994.4,0.0
ARO,2003,4890.5,0.0
ARO,2004,5353.2,0.0
ARO,2005,5482.9,0.0
ARO,2006,4962.3,0.0
ARO,2007,5050.9,0.0
ARO,2008,5198.5,0.0
ARO,2009,5203.1,0.0
ARO,2010,5656.9,0.0
ARO,2011,4754.9,0.0
ARO,2012,5205.2,0.0
ARO,2013,5267.3,0.0
ARO,2014,4893.0,0.0
ARO,2015,4785.2,0.0
ARO,2016,5115.2,0.0
ARO,2017,5127.5,0.0
ARO,2018,4853.3,0.0
ARO,2019,5008.4,0.0
ARO,2020,4842.3,0.0
ARO,2021,5318.0,0.0
ARO,2022,4671.0,0.0
ARO,2023,4789.1,0.0
ARO,2024,4652.9,0.0
ATT,2000,6688.4,0.0
ATT,2001,6894.7,0.0
ATT,2002,6787.6,0.0
ATT,2003,6598.9,0.0
ATT,2004,7014.7,0.0
ATT,2005,7109.6,0.0
ATT,2006,6883.2,0.0
ATT,2007,6778.0,0.0
ATT,2008,7059.1,0.0
ATT,2009,7017.8,0.0
ATT,2010,7315.7,0.0
ATT,2011,6389.5,0.0
ATT,2012,5083.3,0.0
ATT,2013,7144.4,0.0
ATT,2014,6827.8,0.0
ATT,2015,6505.7,0.0
ATT,2016,6847.1,0.0
ATT,2017,6326.8,0.0
ATT,2018,6577.3,0.0
ATT,2019,6478.3,0.0
ATT,2020,6351.0,0.0
ATT,2021,6878.4,0.0
ATT,2022,6183.4,0.0
ATT,2023,6335.5,0.0
ATT,2024,6363.3,0.0
BAS,2000,2457.5,2.6000000000000014
BAS,2001,2821.7,1.6999999999999993
BAS,2002,2622.7,7.0000000000000036
BAS,2003,2859.6,59.7
BAS,2004,2898.1,1.5999999999999979
BAS,2005,2968.4,9.399999999999999
BAS,2006,2864.4,21.899999999999995
BAS,2007,2603.9,4.0
BAS,2008,2812.5,2.799999999999997
BAS,2009,2724.2,5.099999999999998
BAS,2010,3150.9,12.299999999999997
BAS,2011,2500.5,12.7
BAS,2012,2809.5,12.099999999999994
BAS,2013,3031.9,23.1
BAS,2014,2378.9,8.799999999999997
BAS,2015,2623.5,51.2
BAS,2016,2831.5,12.600000000000001
BAS,2017,2733.7,24.100000000000005
BAS,2018,2467.2,30.099999999999998
BAS,2019,2621.7,35.10000000000001
BAS,2020,2437.1,22.400000000000002
BAS,2021,2851.4,5.700000000000003
BAS,2022,2364.2,30.100000000000005
BAS,2023,2332.3,24.499999999999996
BAS,2024,2431.5,16.9
BEH,2000,5940.0,0.0
BEH,2001,6200.9,0.0
BEH,2002,5822.8,0.0
BEH,2003,5845.1,0.0
BEH,2004,5158.0,0.0
BEH,2005,6036.5,0.0
